idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2
0,0.125000,1.000000,0.000000,16.000000,256.000000,65536.000000,-32.000000,1024.000000
1,0.250000,1.000000,0.000000,16.000000,256.000000,65536.000000,-32.000000,1024.000000
2,0.375000,1.000000,0.000000,16.000000,255.999999,65535.999764,-32.000000,1023.999996
3,0.500000,1.000000,0.000029,15.999996,255.999892,65535.951115,-31.999986,1023.999193
4,0.625000,0.999994,0.000456,15.999911,255.997333,65534.795441,-31.999645,1023.980119
5,0.750000,0.999952,0.002711,15.999239,255.977212,65525.722341,-31.996973,1023.830649
6,0.875000,0.999777,0.009379,15.996427,255.893165,65487.948439,-31.985866,1023.210542
7,1.000000,0.999275,0.023397,15.988401,255.654216,65381.182639,-31.954547,1021.467418
8,1.125000,0.998151,0.047357,15.970413,255.122374,65145.781715,-31.885638,1017.652900
9,1.250000,0.995997,0.083389,15.935954,254.114854,64706.172441,-31.757067,1010.596050
10,1.375000,0.992277,0.133409,15.876432,252.403772,63974.659046,-31.542757,998.981141
11,1.500000,0.986287,0.199206,15.780595,249.713045,62855.238011,-31.212903,981.416704
12,1.625000,0.977130,0.281905,15.634080,245.721421,61249.841226,-30.734622,956.527500
13,1.750000,0.963746,0.380569,15.419929,240.087838,59070.947591,-30.074550,923.126426
14,1.875000,0.945060,0.490349,15.120964,232.513539,56262.917266,-29.204819,880.503569
15,2.000000,0.920266,0.601449,14.724256,222.837872,52828.547418,-28.112184,828.787653
16,2.125000,0.889152,0.700351,14.226431,211.135118,48849.547216,-26.807154,769.223857
17,2.250000,0.852330,0.773591,13.637276,197.759366,44486.692279,-25.327997,704.168272
18,2.375000,0.811205,0.812340,12.979287,183.299441,39953.338071,-23.735956,636.709260
19,2.500000,0.767685,0.815078,12.282957,168.454936,35471.282302,-22.102801,570.041579
20,2.625000,0.723751,0.786998,11.580008,153.889646,31228.184093,-20.496275,506.863861
21,2.750000,0.681098,0.737082,10.897567,140.122815,27352.456322,-18.969375,449.024100
22,2.875000,0.640941,0.674856,10.255054,127.485618,23909.442298,-17.556114,397.466864
23,3.000000,0.603989,0.608248,9.663817,116.133456,20912.522086,-16.272817,352.392208
24,3.125000,0.570530,0.542793,9.128479,106.087718,18339.921937,-15.122304,313.495478
25,3.250000,0.540556,0.481778,8.648894,97.283302,16150.484183,-14.098647,280.192358
26,3.375000,0.513875,0.426778,8.221992,89.608594,14295.419719,-13.191157,251.786834
27,3.500000,0.490199,0.378238,7.843188,82.933752,12725.738038,-12.387216,227.577675
28,3.625000,0.469209,0.335948,7.507338,77.128247,11396.253881,-11.674033,206.916149
29,3.750000,0.450583,0.299369,7.209322,72.070386,10267.302458,-11.039614,189.231026
30,3.875000,0.434022,0.267831,6.944356,67.651586,9305.102005,-10.473197,174.034215
31,4.000000,0.419258,0.240654,6.708128,63.777518,8481.411994,-9.965384,160.916258
32,4.125000,0.406053,0.217203,6.496847,60.367571,7772.885652,-9.508099,149.537377
33,4.250000,0.394201,0.196913,6.307223,57.353533,7160.339877,-9.094467,139.617256
34,4.375000,0.383526,0.179298,6.136422,54.677997,6628.055238,-8.718665,130.925200
35,4.500000,0.373876,0.163944,5.982020,52.292761,6163.154844,-8.375769,123.271356
36,4.625000,0.365121,0.150503,5.841944,50.157371,5755.076418,-8.061615,116.499240
37,4.750000,0.357151,0.138684,5.714421,48.237835,5395.134901,-7.772677,110.479518
38,4.875000,0.349871,0.128246,5.597935,46.505533,5076.165626,-7.505959,105.104929
39,5.000000,0.343199,0.118986,5.491189,44.936298,4792.235859,-7.258908,100.286159
