idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2
0,0.125000,1.000000,0.000000,4.000000,16.000000,256.000000,-8.000000,64.000000
1,0.250000,1.000000,0.000000,4.000000,16.000000,256.000000,-8.000000,64.000000
2,0.375000,1.000000,0.000000,4.000000,16.000000,255.999999,-8.000000,64.000000
3,0.500000,1.000000,0.000036,3.999999,15.999993,255.999863,-7.999995,63.999964
4,0.625000,0.999992,0.000566,3.999967,15.999823,255.996641,-7.999889,63.999116
5,0.750000,0.999930,0.003329,3.999719,15.998505,255.971602,-7.999065,63.992531
6,0.875000,0.999677,0.011270,3.998708,15.993121,255.869414,-7.995697,63.965678
7,1.000000,0.998983,0.027188,3.995932,15.978370,255.589625,-7.986457,63.892244
8,1.125000,0.997516,0.052471,3.990063,15.947249,254.999951,-7.966938,63.737728
9,1.250000,0.994923,0.086725,3.979691,15.892401,253.962076,-7.932482,63.466306
10,1.375000,0.990895,0.128064,3.963580,15.807465,252.357160,-7.879027,63.047543
11,1.500000,0.985212,0.173698,3.940848,15.688017,250.103746,-7.803701,62.461034
12,1.625000,0.977765,0.220540,3.911060,15.532035,247.166087,-7.705129,61.698459
13,1.750000,0.968559,0.265693,3.874235,15.339902,243.553963,-7.583446,60.763394
14,1.875000,0.957699,0.306787,3.830797,15.114092,239.316340,-7.440116,59.669522
15,2.000000,0.945369,0.342139,3.781478,14.858659,234.531535,-7.277620,58.437970
16,2.125000,0.931804,0.370778,3.727217,14.578666,229.296258,-7.099100,57.094398
17,2.250000,0.917264,0.392375,3.669054,14.279640,223.715319,-6.908018,55.666307
18,2.375000,0.902011,0.407105,3.608046,13.967119,217.893124,-6.707871,54.180840
19,2.500000,0.886299,0.415504,3.545196,13.646315,211.927419,-6.501970,52.663201
20,2.625000,0.870353,0.418324,3.481412,13.321895,205.905279,-6.293298,51.135658
21,2.750000,0.854371,0.416421,3.417483,12.997866,199.901039,-6.084433,49.617056
22,2.875000,0.838517,0.410661,3.354068,12.677535,193.975739,-5.877519,48.122721
23,3.000000,0.822924,0.401867,3.291696,12.363537,188.177607,-5.674277,46.664621
24,3.125000,0.807695,0.390777,3.230782,12.057883,182.543206,-5.476035,45.251698
25,3.250000,0.792908,0.378035,3.171632,11.762044,177.098907,-5.283775,43.890267
26,3.375000,0.778616,0.364180,3.114464,11.477026,171.862476,-5.098184,42.584448
27,3.500000,0.764855,0.349654,3.059421,11.203457,166.844617,-4.919706,41.336571
28,3.625000,0.751646,0.334811,3.006584,10.941658,162.050384,-4.748582,40.147548
29,3.750000,0.738997,0.319927,2.955987,10.691707,157.480428,-4.584901,39.017196
30,3.875000,0.726906,0.305212,2.907626,10.453503,153.132049,-4.428627,37.944511
31,4.000000,0.715367,0.290822,2.861467,10.226803,149.000071,-4.279635,36.927891
32,4.125000,0.704364,0.276870,2.817457,10.011268,145.077556,-4.137732,35.965315
33,4.250000,0.693882,0.263433,2.775528,9.806490,141.356370,-4.002678,35.054493
34,4.375000,0.683900,0.250560,2.735600,9.612016,137.827627,-3.874204,34.192966
35,4.500000,0.674397,0.238278,2.697589,9.427368,134.482031,-3.752020,33.378202
36,4.625000,0.665351,0.226600,2.661405,9.252057,131.310137,-3.635825,32.607653
37,4.750000,0.656740,0.215523,2.626960,9.085594,128.302543,-3.525320,31.878804
38,4.875000,0.648541,0.205038,2.594165,8.927498,125.450032,-3.420204,31.189205
39,5.000000,0.640733,0.195129,2.562931,8.777298,122.743670,-3.320186,30.536496
