idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2
0,0.125000,1.000000,0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000
1,0.250000,1.000000,0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000
2,0.375000,1.000000,0.000000,25.000000,624.999999,390624.998495,-50.000000,2499.999990
3,0.500000,1.000000,0.000029,24.999994,624.999730,390624.687952,-49.999977,2499.997927
4,0.625000,0.999994,0.000456,24.999861,624.993332,390617.308574,-49.999445,2499.948959
5,0.750000,0.999952,0.002711,24.998812,624.943004,390559.324875,-49.995270,2499.565110
6,0.875000,0.999777,0.009377,24.994419,624.732659,390317.541229,-49.977918,2497.971816
7,1.000000,0.999276,0.023380,24.981893,624.134231,389632.514107,-49.929004,2493.489970
8,1.125000,0.998155,0.047264,24.953881,622.801535,388117.363568,-49.821479,2483.675243
9,1.250000,0.996017,0.083057,24.900429,620.276033,385276.790958,-49.621190,2465.506944
10,1.375000,0.992342,0.132603,24.808549,615.982948,380526.192729,-49.288059,2435.580349
11,1.500000,0.986436,0.198078,24.660889,609.203814,373201.586659,-48.775856,2390.225988
12,1.625000,0.977333,0.282275,24.433323,599.026798,362566.492545,-48.030573,2325.570469
13,1.750000,0.963689,0.387824,24.092222,584.311166,347846.166776,-46.989303,2237.687391
14,1.875000,0.943769,0.514376,23.594233,563.760248,328349.256529,-45.584524,2123.157646
15,2.000000,0.915732,0.653909,22.893308,536.230869,303734.339949,-43.760522,1980.374197
16,2.125000,0.878316,0.787546,21.957912,501.308171,274381.394414,-41.503448,1811.442708
17,2.250000,0.831715,0.889310,20.792883,459.895726,241646.825973,-38.871720,1623.563938
18,2.375000,0.778032,0.937768,19.450797,414.341778,207710.001854,-36.001386,1428.339655
19,2.500000,0.720822,0.927241,18.020546,367.839084,174970.058613,-33.072747,1238.687979
20,2.625000,0.663945,0.868946,16.598619,323.427086,145342.404914,-30.256184,1065.126274
21,2.750000,0.610481,0.782574,15.262024,283.227010,119873.202890,-27.671018,913.640559
22,2.875000,0.562254,0.686727,14.056351,248.236859,98778.481166,-25.374742,785.783243
23,3.000000,0.519933,0.594083,12.998329,218.556398,81722.245390,-23.375416,680.078757
24,3.125000,0.483401,0.511148,12.085020,193.750366,68112.669239,-21.651457,593.577682
25,3.250000,0.452121,0.440068,11.303029,173.154894,57308.141693,-20.168309,522.966072
26,3.375000,0.425402,0.380558,10.635048,156.069966,48724.533886,-18.888946,465.162206
27,3.500000,0.402544,0.331272,10.063610,141.855425,41874.359203,-17.779163,417.550552
28,3.625000,0.382915,0.290565,9.572869,129.966127,36369.569264,-16.809565,378.016655
29,3.750000,0.365969,0.256870,9.149214,119.955316,31909.076449,-15.955835,344.894614
30,3.875000,0.351252,0.228832,8.781288,111.464280,28262.213273,-15.198241,316.887944
31,4.000000,0.338391,0.205337,8.459767,104.207821,25253.088855,-14.520909,292.991666
32,4.125000,0.327082,0.185494,8.177047,97.959943,22747.531410,-13.911087,272.425813
33,4.250000,0.317078,0.168598,7.926940,92.541422,20642.826560,-13.358506,254.582336
34,4.375000,0.308176,0.154095,7.704404,87.809653,18859.902413,-12.854860,238.984143
35,4.500000,0.300213,0.141547,7.505317,83.650603,17337.473397,-12.393380,225.254032
36,4.625000,0.293052,0.130610,7.326295,79.972551,16027.683714,-11.968515,213.091318
37,4.750000,0.286582,0.121012,7.164545,76.701246,14892.872309,-11.575674,202.254285
38,4.875000,0.280710,0.112532,7.017747,73.776182,13903.166711,-11.211029,192.546977
39,5.000000,0.275359,0.104996,6.883967,71.147723,13034.686521,-10.871367,183.809219
