idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2
0,2.200000,0.784328,1.446510,7228.363857,52351601.140858,2760733292873013.000000,-148.426146,22037.321874
1,2.203846,0.779732,1.473185,7186.006571,51747897.921144,2698962858733775.000000,-147.941253,21893.769503
2,2.207692,0.772900,1.471886,7123.049857,50859836.683715,2609861905519355.000000,-147.329140,21713.049290
3,2.211538,0.766578,1.476251,7064.782286,50059573.143429,2532240800899085.500000,-146.767613,21547.952452
4,2.215385,0.761488,1.523221,7017.876571,49412573.740000,2469995345189017.000000,-146.286857,21407.320432
5,2.219231,0.753607,1.567223,6945.238571,48421576.753714,2376373791403934.000000,-145.618792,21212.551034
6,2.223077,0.747680,1.558561,6890.615143,47677713.669714,2306292868223960.000000,-145.085533,21057.514331
7,2.226923,0.740212,1.604661,6821.795143,46795960.518286,2228878352810027.500000,-144.559119,20905.296715
8,2.230769,0.731902,1.704372,6745.204857,45770653.267428,2136919317080588.500000,-143.915167,20720.056717
9,2.234615,0.720749,1.745734,6642.418857,44472285.349714,2026960271544269.000000,-143.191940,20512.649150
10,2.238462,0.712001,1.791134,6561.804143,43486693.470000,1947248697513619.750000,-142.617012,20348.586936
11,2.242308,0.697966,1.973234,6432.457000,41934123.830000,1826251854789024.250000,-141.795560,20115.902012
12,2.246154,0.688451,1.947825,6344.766429,40897164.775143,1745606582414446.750000,-141.232262,19956.378984
13,2.250000,0.671260,1.982642,6186.332429,39071869.315714,1612524265485033.000000,-140.401679,19722.668470
14,2.253846,0.655356,2.089310,6039.761571,37431647.609428,1497617847666392.250000,-139.668420,19517.880768
15,2.257692,0.638735,2.250454,5886.579286,35765949.250571,1385619000107237.500000,-138.817512,19281.772566
16,2.261538,0.619363,2.348397,5708.045857,34002601.443142,1278742907729652.250000,-138.122080,19089.720089
17,2.265385,0.594060,2.292050,5474.857714,31668772.930857,1138290748536150.500000,-137.239351,18846.402240
18,2.269231,0.570351,2.504800,5256.351143,29603756.475428,1024846261935674.875000,-136.388518,18614.726040
19,2.273077,0.547214,2.368749,5043.124286,27642163.421142,916880044140028.000000,-135.583134,18395.025245
20,2.276923,0.513191,2.324350,4729.571429,24851169.143428,775336095791250.750000,-134.571429,18121.519696
21,2.280769,0.480186,2.494947,4425.396714,22428257.593428,668414840535635.250000,-133.656015,17876.908798
22,2.284615,0.462389,2.421659,4261.373286,21026784.553429,600753344965756.750000,-133.037961,17711.738921
23,2.288462,0.416273,2.532974,3836.375857,17820630.187143,471045921068813.875000,-131.701592,17358.574729
24,2.292308,0.394560,2.252587,3636.268000,16226586.570857,404143237647665.500000,-131.164893,17216.065730
25,2.296154,0.375872,2.056520,3464.035571,15044160.142000,359992644860087.250000,-130.601598,17067.620093
26,2.300000,0.339463,2.213003,3128.489571,12726066.199714,280552021101075.656250,-129.473949,16775.210360
27,2.303846,0.316685,1.909031,2918.573429,11203368.164000,224466229619199.468750,-128.700884,16574.050103
28,2.307692,0.281879,1.899928,2597.800857,9214236.357143,166160915916199.500000,-127.512664,16269.597362
29,2.311538,0.275613,1.908956,2540.053429,8862244.700571,156815078394506.187500,-127.305887,16216.988795
30,2.315385,0.258301,1.869754,2380.504286,7944228.239428,131599557532956.203125,-126.513801,16015.765506
31,2.319231,0.238680,1.694630,2199.674857,6852754.680000,100752117717113.390625,-126.087104,15907.072966
32,2.323077,0.227647,1.877817,2097.990857,6352652.576571,90769431605118.328125,-125.267092,15701.978395
33,2.326923,0.208077,1.432351,1917.639286,5385827.184286,68068670111516.437500,-124.925619,15614.165861
34,2.330769,0.198815,1.674019,1832.279571,4958807.667714,58944297663196.890625,-124.073387,15403.299424
35,2.334615,0.195549,1.555998,1802.175143,4804170.348571,55292330546490.507812,-123.862348,15350.362161
36,2.338462,0.187230,1.403554,1725.510000,4429941.256571,47890053681054.500000,-123.151860,15174.055851
37,2.342308,0.171299,1.355211,1578.691429,3720012.277143,34887939903924.277344,-122.366429,14980.978077
38,2.346154,0.169674,1.385368,1563.714857,3638150.066857,33098190725142.285156,-122.245202,14951.515180
39,2.350000,0.152679,1.243845,1407.086714,3013863.019143,23855766983432.347656,-121.351378,14733.026069
