idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2
0,2.200000,0.785373,1.394980,3216.889286,10391656.327143,109567907007356.859375,-99.013254,9810.376265
1,2.203846,0.778501,1.452871,3188.740714,10218359.264857,106161654303581.484375,-98.558420,9720.818587
2,2.207692,0.773139,1.444846,3166.778429,10086223.984286,103616595069250.984375,-98.252228,9660.542287
3,2.211538,0.768049,1.475423,3145.928000,9958344.601714,101160681498793.750000,-97.896799,9590.999426
4,2.215385,0.761123,1.498902,3117.559571,9788136.510000,97987789050823.390625,-97.493281,9512.296393
5,2.219231,0.757580,1.579326,3103.048429,9702992.582000,96474624788353.953125,-97.256085,9466.524193
6,2.223077,0.747110,1.613972,3060.161571,9450549.016286,91889838795759.875000,-96.746384,9367.839167
7,2.226923,0.739943,1.642429,3030.804571,9284581.077714,89021860422607.328125,-96.306531,9283.093074
8,2.230769,0.733825,1.689576,3005.748571,9146660.768571,86705190459016.546875,-96.005835,9225.528210
9,2.234615,0.720807,1.779651,2952.426286,8850758.977143,81852886062446.656250,-95.436750,9117.059946
10,2.238462,0.716808,1.681078,2936.044714,8763200.706571,80310994226161.734375,-95.191013,9069.752424
11,2.242308,0.707119,1.765013,2896.359857,8544427.759714,76806031086395.531250,-94.711911,8979.220419
12,2.246154,0.688281,1.895040,2819.199571,8172231.258571,71553569835204.203125,-94.116674,8867.509216
13,2.250000,0.677782,2.000637,2776.193857,7951807.221428,68315836361406.132812,-93.680210,8786.109936
14,2.253846,0.662453,2.154255,2713.406571,7648536.068571,64079443448585.250000,-93.101451,8678.823392
15,2.257692,0.647187,1.990490,2650.879000,7350317.670000,59957849841831.539062,-92.648799,8593.945850
16,2.261538,0.633774,2.117690,2595.939714,7098846.150286,56709323040949.304688,-92.149563,8502.372914
17,2.265385,0.618238,2.075352,2532.304714,6796733.019714,52709000013800.296875,-91.660531,8412.303626
18,2.269231,0.602579,2.259327,2468.163429,6524312.896000,49551843935530.367188,-91.167638,8323.172486
19,2.273077,0.585827,2.111561,2399.547286,6221795.760286,45913730540880.460938,-90.744991,8245.563584
20,2.276923,0.555446,2.294539,2275.107714,5702720.808000,40123709179466.687500,-89.878210,8089.988359
21,2.280769,0.547329,2.262771,2241.859429,5571370.826286,38653949689627.414062,-89.634402,8046.096711
22,2.284615,0.518715,2.294478,2124.657429,5092987.259429,33567593556693.445312,-88.790246,7895.683653
23,2.288462,0.491837,2.261758,2014.562571,4687338.678286,29767270578246.093750,-88.186813,7788.758854
24,2.292308,0.470439,2.244727,1926.919000,4356027.376857,26668748707042.683594,-87.641353,7692.802010
25,2.296154,0.464403,2.113368,1902.194429,4269933.626571,25762069936662.136719,-87.562696,7678.368163
26,2.300000,0.436537,2.196750,1788.056714,3863153.329429,22150707930628.574219,-86.797290,7545.390391
27,2.303846,0.417903,1.950725,1711.732429,3571869.839143,19393685654282.304688,-86.358866,7468.207624
28,2.307692,0.388704,1.925989,1592.133143,3203639.278286,16614455769520.425781,-85.738679,7361.377748
29,2.311538,0.379568,1.992550,1554.710429,3060818.465429,15364862839280.345703,-85.325411,7291.072329
30,2.315385,0.357203,1.850489,1463.102000,2763091.678286,13071162988986.845703,-84.773170,7196.410775
31,2.319231,0.335927,1.999127,1375.956429,2502997.154000,11364707587749.404297,-84.142500,7090.713275
32,2.323077,0.323111,1.858943,1323.461143,2336609.845714,10107280655289.417969,-83.829902,7037.484568
33,2.326923,0.313810,1.661562,1285.364143,2208665.775143,9067435279840.375000,-83.459085,6974.415487
34,2.330769,0.291572,1.639487,1194.278429,1962699.697429,7616949652204.817383,-82.977143,6894.112727
35,2.334615,0.277806,1.591173,1137.893000,1801249.118571,6626541945496.855469,-82.435219,6804.237866
36,2.338462,0.279212,1.529477,1143.650571,1806738.044571,6536806183118.004883,-82.291201,6780.205540
37,2.342308,0.255945,1.466815,1048.350000,1550431.973143,5155506548729.950195,-81.737746,6689.106585
38,2.346154,0.249173,1.449735,1020.613857,1486615.954571,4848917151997.392578,-81.583987,6663.926847
39,2.350000,0.242095,1.476737,991.620429,1411538.970000,4437662824507.157227,-81.179326,6598.238232
