idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2
0,2.200000,0.785285,1.400934,1809.296571,3297722.089143,11131394695866.531250,-74.273256,5523.297069
1,2.203846,0.778076,1.435363,1792.687000,3241044.313429,10788465311869.566406,-73.909631,5469.605015
2,2.207692,0.774278,1.436383,1783.936714,3212114.944286,10614051813110.261719,-73.746500,5445.547059
3,2.211538,0.767830,1.514085,1769.081429,3165356.833714,10351654200866.443359,-73.484000,5407.303496
4,2.215385,0.763634,1.487065,1759.413429,3129266.685714,10119567516567.011719,-73.205006,5366.271304
5,2.219231,0.754868,1.612521,1739.216714,3067167.034571,9784866322202.523438,-72.848458,5314.839525
6,2.223077,0.749385,1.608747,1726.583143,3025931.254857,9548457498662.835938,-72.582732,5276.203548
7,2.226923,0.739907,1.626088,1704.745429,2957984.567429,9177323544193.417969,-72.286905,5233.460676
8,2.230769,0.732532,1.719952,1687.754143,2906392.047714,8912295745495.875000,-71.946887,5184.913588
9,2.234615,0.725924,1.663193,1672.528571,2858113.238286,8642860204707.642578,-71.682988,5146.755948
10,2.238462,0.714928,1.794668,1647.194429,2784560.931714,8280409919986.214844,-71.284000,5090.401215
11,2.242308,0.701781,1.815485,1616.902429,2694933.585429,7840166405748.981445,-70.909607,5037.300543
12,2.246154,0.693428,1.928897,1597.658857,2646110.166286,7633929749767.393555,-70.631554,4998.548044
13,2.250000,0.686973,1.881589,1582.784857,2594370.662286,7347582444182.440430,-70.350821,4958.763619
14,2.253846,0.669726,1.985875,1543.047571,2492575.551143,6921614957219.678711,-69.890060,4894.708312
15,2.257692,0.660916,2.002482,1522.750429,2434350.719714,6633957555743.679688,-69.574399,4850.803968
16,2.261538,0.647530,1.992629,1491.908143,2356740.343143,6320094853188.336914,-69.269000,4808.385774
17,2.265385,0.635707,2.048046,1464.669857,2279057.414571,5967371268913.092773,-68.843131,4749.887185
18,2.269231,0.621989,2.099451,1433.062286,2200178.084571,5653108275778.259766,-68.433964,4694.018401
19,2.273077,0.606046,2.004851,1396.329714,2104543.628000,5257468357155.120117,-68.055101,4641.855619
20,2.276923,0.598568,2.131559,1379.100000,2062811.752000,5092924777679.097656,-67.780488,4605.245376
21,2.280769,0.574391,2.177180,1323.396714,1931882.197429,4624609991719.412109,-67.245256,4533.249940
22,2.284615,0.564845,2.213092,1301.402286,1878611.658286,4420045949099.420898,-67.006982,4501.486818
23,2.288462,0.552834,2.042117,1273.730286,1810333.644571,4158265107097.893555,-66.750851,4466.370815
24,2.292308,0.527420,2.118270,1215.175571,1683706.750571,3741007430731.608887,-66.159940,4388.268544
25,2.296154,0.507611,2.122470,1169.534857,1584712.034857,3419976836509.903320,-65.773435,4337.335036
26,2.300000,0.499302,1.957739,1150.391143,1532362.469714,3209364441437.417969,-65.415893,4289.595476
27,2.303846,0.479315,1.992267,1104.342000,1438030.598857,2924737534537.620117,-65.042315,4241.077171
28,2.307692,0.451576,2.072071,1040.431857,1307370.488286,2536755695789.230957,-64.412792,4160.042426
29,2.311538,0.442342,2.090081,1019.156857,1270371.687429,2445224543283.719727,-64.183196,4130.650443
30,2.315385,0.433191,1.881286,998.072857,1220231.429714,2283654484455.213379,-63.965095,4101.618994
31,2.319231,0.416251,1.867441,959.043429,1141699.791429,2050110207884.468994,-63.529232,4046.007988
32,2.323077,0.398657,1.909442,918.505429,1062264.172571,1842491248520.037109,-63.161101,3999.629366
33,2.326923,0.384612,1.835489,886.147143,1004095.905714,1687451143203.073975,-62.845054,3959.439142
34,2.330769,0.385537,1.706147,888.277571,999559.364286,1651308122739.389893,-62.821494,3955.808731
35,2.334615,0.364626,1.655645,840.097429,915485.218286,1458664842799.142090,-62.450726,3909.117179
36,2.338462,0.343876,1.733154,792.290857,832975.410857,1255207609232.386719,-61.881054,3838.742375
37,2.342308,0.329991,1.550772,760.298857,767392.870286,1087353292160.684814,-61.547786,3796.638091
38,2.346154,0.317670,1.445114,731.910571,722112.564571,987630877677.527832,-61.260042,3760.747243
39,2.350000,0.318131,1.474827,732.973429,724231.110857,994415282310.828979,-61.206036,3754.323543
