idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2
0,2.200000,0.788137,1.373448,453.966857,210441.137143,46826536655.355637,-37.128167,1385.148246
1,2.203846,0.782255,1.363135,450.578714,207749.006571,45848078387.674683,-37.019476,1377.062278
2,2.207692,0.772695,1.397489,445.072429,203529.808857,44334189204.807930,-36.786095,1360.028032
3,2.211538,0.770282,1.420969,443.682714,202595.176286,44037132317.509712,-36.714107,1354.875486
4,2.215385,0.769025,1.440042,442.958143,201618.342000,43587779050.830673,-36.622488,1348.274260
5,2.219231,0.763508,1.480582,439.780857,199176.836000,42691878444.230568,-36.444619,1335.502103
6,2.223077,0.760825,1.413320,438.235286,197714.038000,42075396772.887932,-36.382667,1330.683163
7,2.226923,0.754251,1.474814,434.448714,194978.411143,41205291790.384872,-36.255512,1321.776022
8,2.230769,0.749322,1.457537,431.609429,192749.816000,40385233456.489052,-36.119381,1311.862865
9,2.234615,0.739508,1.600644,425.956571,188825.298857,39202761609.853546,-35.886298,1295.819185
10,2.238462,0.735845,1.607461,423.846714,187258.968286,38716585220.489899,-35.812393,1290.582002
11,2.242308,0.727372,1.645261,418.966286,183542.708571,37470720266.372276,-35.616000,1276.771734
12,2.246154,0.721379,1.610533,415.514571,180939.969143,36550164572.086494,-35.469702,1266.225260
13,2.250000,0.716091,1.550127,412.468286,179020.225714,36015231646.690071,-35.416571,1262.181052
14,2.253846,0.711477,1.583609,409.810571,176879.641143,35224755851.880814,-35.257607,1251.143312
15,2.257692,0.696555,1.704014,401.215571,170807.549429,33418766510.174328,-34.931821,1228.917804
16,2.261538,0.695616,1.644092,400.674857,170597.735429,33332561627.901207,-34.917762,1227.658897
17,2.265385,0.680453,1.735149,391.941000,164274.363714,31425942307.666958,-34.596583,1205.828308
18,2.269231,0.671608,1.682090,386.846286,161363.268000,30675469676.043041,-34.501369,1199.006236
19,2.273077,0.672466,1.701548,387.340286,161140.833714,30455240314.872639,-34.445060,1195.253815
20,2.276923,0.664229,1.713963,382.596000,158077.525714,29615123633.773392,-34.289631,1184.664625
21,2.280769,0.656190,1.691410,377.965429,154698.876000,28509708287.197460,-34.086464,1170.685605
22,2.284615,0.644918,1.717069,371.473000,150923.190000,27624089907.740391,-33.905345,1158.534621
23,2.288462,0.644150,1.746080,371.030143,150421.985429,27391780334.798664,-33.868738,1156.235738
24,2.292308,0.629423,1.744930,362.547429,145183.014286,26042359486.351906,-33.618333,1139.361377
25,2.296154,0.621898,1.800375,358.213286,142000.248286,25149188869.276516,-33.482750,1130.586704
26,2.300000,0.609158,1.760049,350.874857,137492.404571,23918611557.275375,-33.185595,1110.594389
27,2.303846,0.604792,1.718202,348.360286,135727.814286,23386547668.130104,-33.158048,1108.575837
28,2.307692,0.598696,1.703796,344.849000,133088.077429,22577261937.969162,-32.975155,1096.434304
29,2.311538,0.582943,1.757712,335.775286,127910.507143,21379938588.277737,-32.733345,1080.863716
30,2.315385,0.580037,1.757746,334.101429,127149.405714,21214399020.704071,-32.635464,1074.496815
31,2.319231,0.569906,1.772866,328.266143,123380.498000,20262859193.672150,-32.438000,1061.759790
32,2.323077,0.556138,1.707165,320.335571,118230.458000,18906911749.352230,-32.257714,1049.773167
33,2.326923,0.549029,1.662773,316.240429,115966.526571,18376461775.930584,-32.149536,1042.595851
34,2.330769,0.543815,1.718848,313.237714,114442.026286,18057890941.774040,-31.992476,1032.856151
35,2.334615,0.526503,1.674985,303.265857,108611.663714,16628643213.064320,-31.692440,1013.540169
36,2.338462,0.522335,1.696203,300.864857,107484.729143,16465137732.955732,-31.635464,1010.078121
37,2.342308,0.514822,1.693901,296.537571,104907.520286,15838866822.648331,-31.493143,1001.111472
38,2.346154,0.513363,1.649039,295.697143,103947.958857,15528763721.755707,-31.419393,996.255280
39,2.350000,0.502078,1.687104,289.196857,100685.108571,14897353979.904226,-31.245845,985.619879
