idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2,c_error
0,0.200000,1.000000,0.000000,100.000000,10000.000000,100000000.000014,-200.000000,40000.000000,0.000000
1,0.400000,1.000000,0.000000,100.000000,10000.000000,100000000.000014,-200.000000,40000.000000,0.000000
2,0.600000,0.999995,0.000504,99.999467,9999.894933,99997960.552548,-199.998133,39999.271467,0.000315
3,0.800000,0.999907,0.004645,99.990667,9998.152000,99963771.808014,-199.962667,39985.365333,0.000556
4,1.000000,0.999292,0.023591,99.929200,9986.003467,99726435.994680,-199.722133,39891.289600,0.001215
5,1.200000,0.997073,0.065126,99.707333,9942.237600,98874613.737609,-198.880000,39562.632533,0.001729
6,1.400000,0.991455,0.141357,99.145467,9832.152800,96758880.265602,-196.825333,38767.917867,0.003132
7,1.600000,0.979629,0.262640,97.962933,9603.709333,92482959.438930,-192.848800,37257.895467,0.005074
8,1.800000,0.956739,0.442143,95.673867,9174.923200,84873671.443198,-185.964533,34726.061867,0.008766
9,2.000000,0.912539,0.709581,91.253867,8396.427200,72259138.912003,-174.572267,30759.308800,0.016123
10,2.200000,0.810983,1.170325,81.098267,6867.768267,52177290.836268,-156.239733,24977.291733,0.023180
11,2.400000,0.630037,1.275300,63.003733,4569.788800,28084238.553601,-130.295733,17711.550933,0.017079
12,2.600000,0.457619,0.932304,45.761867,2719.278400,12807336.352000,-108.174400,12331.938133,0.014662
13,2.800000,0.351083,0.640149,35.108267,1736.333333,6329385.154133,-93.508533,9245.722667,0.011168
14,3.000000,0.275836,0.435799,27.583600,1118.113333,2969498.936533,-82.346133,7173.105067,0.006787
15,3.200000,0.235237,0.338570,23.523733,834.564800,1797627.372800,-74.601333,5912.054400,0.004758
16,3.400000,0.211168,0.284530,21.116800,679.688000,1231167.852800,-68.785600,5060.375467,0.003912
17,3.600000,0.192149,0.238177,19.214933,568.388800,894427.219200,-63.879200,4389.229867,0.003091
18,3.800000,0.174331,0.195019,17.433067,468.662400,611235.814400,-59.233600,3790.227200,0.002326
19,4.000000,0.166191,0.170532,16.619067,424.619467,496563.501867,-55.776800,3383.902933,0.002117
20,4.200000,0.157909,0.154411,15.790933,385.849600,416489.574400,-52.691733,3048.800000,0.001860
21,4.400000,0.150163,0.132352,15.016267,347.993600,344637.286400,-49.628000,2719.171200,0.001623
22,4.600000,0.144351,0.121286,14.435067,324.896800,305459.395200,-47.321333,2495.949867,0.001468
23,4.800000,0.138829,0.106361,13.882933,300.837333,259868.450133,-44.922133,2263.054933,0.001242
24,5.000000,0.136643,0.098366,13.664267,290.347200,245868.064000,-42.809067,2078.530133,0.001171
