,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2,sigma**4
0,2.206000,0.778762,1.436343,797.452000,647324.700000,-49.301937,2437.670914,2437.670914,219825913.991880
1,2.212000,0.775059,1.353819,793.660000,639785.928000,-49.036062,2411.159586,2411.159586,214116867.232992
2,2.218000,0.758147,1.493941,776.343000,617571.522000,-48.609000,2370.184359,2370.184359,202541304.592212
3,2.224000,0.750571,1.490942,768.585000,606637.958000,-48.391000,2349.063344,2349.063344,196551041.622460
4,2.230000,0.738317,1.570333,756.037000,590776.850000,-48.125000,2323.824734,2323.824734,188437637.537044
5,2.236000,0.730861,1.519550,748.402000,577845.048000,-47.693687,2282.285117,2282.285117,180325289.322912
6,2.242000,0.711882,1.688871,728.967000,552602.906000,-47.264875,2242.457625,2242.457625,167955729.996484
7,2.248000,0.711189,1.729317,728.258000,551471.776000,-47.180812,2234.768180,2234.768180,167227035.935408
8,2.254000,0.693467,1.624244,710.110000,527412.600000,-46.712563,2190.315492,2190.315492,154474403.235696
9,2.260000,0.680499,1.736953,696.831000,513829.358000,-46.507750,2171.842469,2171.842469,149461675.257868
10,2.266000,0.662563,1.938958,678.465000,491447.530000,-46.114500,2136.503187,2136.503187,139979135.832356
11,2.272000,0.635981,1.944877,651.245000,460436.298000,-45.375375,2068.964078,2068.964078,126858195.248868
12,2.278000,0.632134,1.912769,647.305000,454490.062000,-45.256688,2058.093664,2058.093664,123317836.052780
13,2.284000,0.613819,1.741775,628.551000,433706.050000,-44.974938,2031.831242,2031.831242,114112037.570660
14,2.290000,0.583565,2.143465,597.571000,400098.818000,-44.169313,1962.168711,1962.168711,101748809.434180
15,2.296000,0.567200,1.903531,580.813000,380925.306000,-44.054500,1950.833656,1950.833656,94098800.353428
16,2.302000,0.563629,1.782192,577.156000,377110.496000,-43.970625,1942.860062,1942.860062,92665694.155264
17,2.308000,0.533513,1.965154,546.317000,344947.786000,-43.287125,1884.243297,1884.243297,80926964.578820
18,2.314000,0.511529,1.841109,523.806000,322762.468000,-42.934000,1853.186750,1853.186750,73146863.118968
19,2.320000,0.507312,1.895368,519.487000,321977.986000,-43.001813,1859.357508,1859.357508,74304238.218884
20,2.326000,0.492495,1.751462,504.315000,304435.850000,-42.551313,1820.090086,1820.090086,67403150.852740
21,2.332000,0.474372,1.639848,485.757000,284381.842000,-42.122313,1783.207070,1783.207070,59447531.116052
22,2.338000,0.448529,1.829104,459.294000,261213.840000,-41.694188,1748.403602,1748.403602,53435320.396560
23,2.344000,0.431918,1.857977,442.284000,245737.192000,-41.240313,1710.971727,1710.971727,48629558.735792
24,2.350000,0.414555,1.655796,424.504000,229487.292000,-41.237750,1709.696156,1709.696156,43566640.721544
