,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2,size
0,2.251200,0.772161,1.228345,77.216089,6333.783333,-149.930844,23101.771378,23101.771378
1,2.252400,0.772034,1.229405,77.203400,6328.189778,-149.873911,23085.904000,23085.904000
2,2.253600,0.769680,1.235787,76.967989,6300.243800,-149.567267,22997.988000,22997.988000
3,2.254800,0.768584,1.240312,76.858411,6287.938333,-149.460444,22969.014400,22969.014400
4,2.256000,0.766500,1.251760,76.650000,6261.322267,-149.179644,22891.653867,22891.653867
5,2.257200,0.767081,1.247621,76.708078,6268.579000,-149.191933,22893.889689,22893.889689
6,2.258400,0.765896,1.245194,76.589644,6253.800356,-149.078733,22859.563644,22859.563644
7,2.259600,0.764151,1.249965,76.415144,6227.873489,-148.764644,22769.125778,22769.125778
8,2.260800,0.763497,1.238904,76.349689,6219.157556,-148.717067,22749.996444,22749.996444
9,2.262000,0.765125,1.241140,76.512533,6240.165422,-148.861489,22794.789778,22794.789778
10,2.263200,0.761395,1.252125,76.139500,6192.151044,-148.392111,22661.566489,22661.566489
11,2.264400,0.762011,1.241405,76.201067,6198.521867,-148.412933,22662.930133,22662.930133
12,2.265600,0.758705,1.254164,75.870478,6155.038556,-147.967733,22538.205511,22538.205511
13,2.266800,0.758540,1.257866,75.853989,6154.069978,-147.906733,22522.741422,22522.741422
14,2.268000,0.757541,1.254482,75.754133,6140.833600,-147.829244,22498.769067,22498.769067
15,2.269200,0.756507,1.260477,75.650667,6127.436978,-147.634289,22444.936978,22444.936978
16,2.270400,0.756316,1.257466,75.631600,6126.400489,-147.616867,22438.927556,22438.927556
17,2.271600,0.753984,1.276766,75.398433,6099.337533,-147.322756,22362.826667,22362.826667
18,2.272800,0.753042,1.264675,75.304178,6081.138711,-147.076022,22284.639378,22284.639378
19,2.274000,0.752394,1.276913,75.239356,6076.213067,-147.008711,22271.862400,22271.862400
20,2.275200,0.751176,1.264264,75.117567,6057.282244,-146.866956,22224.353156,22224.353156
21,2.276400,0.750953,1.265622,75.095344,6055.830511,-146.818667,22211.565867,22211.565867
22,2.277600,0.749377,1.272002,74.937722,6034.453578,-146.523533,22128.992089,22128.992089
23,2.278800,0.746934,1.268714,74.693389,6006.756556,-146.311733,22065.957333,22065.957333
24,2.280000,0.745316,1.273489,74.531578,5984.350133,-146.051756,21993.125600,21993.125600
