,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2,size
0,2.251200,0.767476,1.244575,76.747556,6270.680889,-149.346000,22934.966222,22934.966222
1,2.252400,0.773528,1.216241,77.352778,6348.620222,-150.003333,23118.036444,23118.036444
2,2.253600,0.771949,1.205743,77.194889,6328.793778,-150.097556,23141.638222,23141.638222
3,2.254800,0.770793,1.207136,77.079333,6314.152889,-149.776667,23046.772444,23046.772444
4,2.256000,0.767444,1.231183,76.744444,6270.995556,-149.230444,22896.340444,22896.340444
5,2.257200,0.766183,1.270058,76.618333,6254.689556,-148.832444,22798.184889,22798.184889
6,2.258400,0.766486,1.248884,76.648556,6252.944222,-148.812444,22782.120889,22782.120889
7,2.259600,0.763261,1.243444,76.326111,6209.321556,-148.386222,22653.347556,22653.347556
8,2.260800,0.766314,1.234948,76.631444,6256.671333,-148.971333,22823.666667,22823.666667
9,2.262000,0.761894,1.266766,76.189444,6202.845111,-148.460222,22688.596444,22688.596444
10,2.263200,0.765404,1.190086,76.540444,6243.012000,-149.092444,22838.128000,22838.128000
11,2.264400,0.759796,1.244223,75.979556,6175.952444,-148.157111,22588.505778,22588.505778
12,2.265600,0.765658,1.214712,76.565778,6238.422667,-148.759556,22752.910222,22752.910222
13,2.266800,0.758978,1.238977,75.897778,6155.414222,-147.998889,22540.304889,22540.304889
14,2.268000,0.754328,1.281140,75.432778,6108.600667,-147.497111,22414.393778,22414.393778
15,2.269200,0.758824,1.227553,75.882444,6146.100000,-147.762222,22465.774222,22465.774222
16,2.270400,0.756501,1.263339,75.650111,6131.181111,-147.615111,22441.436444,22441.436444
17,2.271600,0.758301,1.233005,75.830111,6150.527778,-147.881778,22505.271111,22505.271111
18,2.272800,0.754562,1.251585,75.456222,6093.991111,-147.287778,22340.210667,22340.210667
19,2.274000,0.752713,1.258304,75.271333,6072.561778,-146.955333,22246.548444,22246.548444
20,2.275200,0.748329,1.285535,74.832889,6024.120444,-146.443778,22111.241778,22111.241778
21,2.276400,0.748424,1.291191,74.842444,6022.299556,-146.368222,22092.751111,22092.751111
22,2.277600,0.746774,1.231703,74.677444,5999.002000,-146.376000,22064.874667,22064.874667
23,2.278800,0.750557,1.236890,75.055667,6040.665111,-146.595556,22132.565333,22132.565333
24,2.280000,0.743407,1.238222,74.340667,5953.288444,-145.804667,21902.678222,21902.678222
