,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2
0,2.251200,0.764329,1.287967,76.432889,6254.102222,-149.356444,22960.076444
1,2.252400,0.769677,1.247204,76.967667,6311.065111,-149.615333,23017.492444
2,2.253600,0.773602,1.250810,77.360222,6368.990222,-150.396667,23254.408000
3,2.254800,0.763553,1.322967,76.355333,6262.478222,-149.621778,23059.288889
4,2.256000,0.772919,1.196293,77.291889,6317.515333,-149.731556,23028.396444
5,2.257200,0.763909,1.238726,76.390889,6232.768000,-149.168222,22882.283556
6,2.258400,0.765273,1.210521,76.527333,6217.838667,-148.625556,22706.966222
7,2.259600,0.756296,1.268846,75.629556,6119.217778,-147.702444,22463.858667
8,2.260800,0.776430,1.172362,77.643000,6357.050889,-149.465111,22939.039111
9,2.262000,0.755698,1.275865,75.569778,6133.580444,-147.827556,22505.800889
10,2.263200,0.751253,1.285300,75.125333,6082.704000,-147.753556,22489.453333
11,2.264400,0.757792,1.275786,75.779222,6149.396667,-147.896889,22527.649778
12,2.265600,0.751978,1.307848,75.197778,6099.708889,-147.628889,22465.600000
13,2.266800,0.767473,1.248398,76.747333,6267.255556,-148.849556,22797.664889
14,2.268000,0.745807,1.335498,74.580667,6029.037333,-147.173778,22347.077333
15,2.269200,0.772168,1.202742,77.216778,6316.063778,-149.354667,22926.140444
16,2.270400,0.753014,1.267195,75.301444,6064.859778,-146.913333,22236.730667
17,2.271600,0.752969,1.258857,75.296889,6089.489333,-147.385556,22372.093333
18,2.272800,0.754641,1.281814,75.464111,6120.432667,-147.551111,22433.466667
19,2.274000,0.751346,1.253568,75.134556,6057.919778,-146.886222,22223.792000
20,2.275200,0.752816,1.243527,75.281556,6092.162667,-147.317778,22346.243556
21,2.276400,0.746920,1.247837,74.692000,5976.593333,-145.771111,21895.845333
22,2.277600,0.765361,1.196035,76.536111,6217.874889,-148.156667,22570.836444
23,2.278800,0.747739,1.317470,74.773889,6032.796667,-146.694222,22203.347556
24,2.280000,0.744374,1.267383,74.437444,5959.854444,-145.666667,21877.614222
