,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2,size
0,2.251200,0.668693,2.059777,6686.925600,45655502.748800,-146.144008,21368.509824,21368.509824
1,2.252400,0.665615,2.101620,6656.150200,45249707.567200,-145.854966,21284.333266,21284.333266
2,2.253600,0.659799,2.191788,6597.993400,44580178.325200,-145.668218,21230.361199,21230.361199
3,2.254800,0.651039,2.191780,6510.390100,43563255.650600,-145.301614,21123.702310,21123.702310
4,2.256000,0.645019,2.245857,6450.191800,42816609.053600,-144.953272,21022.881432,21022.881432
5,2.257200,0.643477,2.202107,6434.772500,42655211.363800,-144.875874,21000.238495,21000.238495
6,2.258400,0.632433,2.282945,6324.334000,41457300.337600,-144.491486,20889.433394,20889.433394
7,2.259600,0.627649,2.144075,6276.494500,40847725.154200,-144.252818,20819.822703,20819.822703
8,2.260800,0.621281,2.297088,6212.812500,40157215.193400,-143.934018,20728.742454,20728.742454
9,2.262000,0.612367,2.254732,6123.673500,39157963.305800,-143.676134,20654.368142,20654.368142
10,2.263200,0.607498,2.386486,6074.976000,38700201.295200,-143.470640,20596.048299,20596.048299
11,2.264400,0.599536,2.428333,5995.362800,37927001.374000,-143.241002,20530.435948,20530.435948
12,2.265600,0.598185,2.276552,5981.848300,37641675.199800,-143.037906,20471.527966,20471.527966
13,2.266800,0.584433,2.481455,5844.326300,36261805.220600,-142.657990,20364.052777,20364.052777
14,2.268000,0.573824,2.396440,5738.239200,35138330.183200,-142.223976,20239.986217,20239.986217
15,2.269200,0.568935,2.428584,5689.349000,34716068.478800,-142.121598,20211.054047,20211.054047
16,2.270400,0.556372,2.434341,5563.722200,33396361.315200,-141.650076,20077.292367,20077.292367
17,2.271600,0.547850,2.488240,5478.500400,32578446.860800,-141.426416,20014.270877,20014.270877
18,2.272800,0.542480,2.409366,5424.803000,32002909.069600,-141.200472,19950.019164,19950.019164
19,2.274000,0.527367,2.509667,5273.673300,30677961.193800,-140.765186,19827.815269,19827.815269
20,2.275200,0.519174,2.421678,5191.741500,29850451.746200,-140.524632,19759.708098,19759.708098
21,2.276400,0.507071,2.423819,5070.712000,28703331.438400,-140.187884,19665.203042,19665.203042
22,2.277600,0.498938,2.553860,4989.384000,27946317.312000,-139.803106,19558.156499,19558.156499
23,2.278800,0.490656,2.567643,4906.560500,27193185.891800,-139.574466,19494.365146,19494.365146
24,2.280000,0.488030,2.371857,4880.295100,26991906.153400,-139.516084,19477.067555,19477.067555
