idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2,c_error
0,0.200000,1.000000,0.000000,100.000000,10000.000000,100000000.000014,-200.000000,40000.000000,0.000000
1,0.400000,1.000000,0.000000,100.000000,10000.000000,100000000.000014,-200.000000,40000.000000,0.000000
2,0.600000,0.999999,0.000119,99.999867,9999.973600,99999482.454415,-199.999467,39999.790933,0.000119
3,0.800000,0.999888,0.005569,99.988800,9997.782400,99956526.169614,-199.955200,39982.438400,0.000616
4,1.000000,0.999233,0.024476,99.923333,9984.838667,99703480.820279,-199.700000,39882.537600,0.001092
5,1.200000,0.997013,0.068004,99.701333,9941.099200,98854010.976009,-198.861333,39555.622400,0.002125
6,1.400000,0.991288,0.145714,99.128800,9828.920000,96698449.657602,-196.774933,38748.934400,0.003111
7,1.600000,0.979568,0.259276,97.956800,9602.426133,92456162.498130,-192.826133,37248.292267,0.004796
8,1.800000,0.956993,0.446231,95.699333,9181.511200,85008887.542398,-186.100533,34777.987200,0.012108
9,2.000000,0.910920,0.731106,91.092000,8379.599467,72153588.900270,-174.608533,30780.582400,0.017768
10,2.200000,0.808481,1.147103,80.848133,6818.970933,51415982.853334,-155.546400,24749.880533,0.022543
11,2.400000,0.627289,1.277268,62.728933,4557.896267,28116540.653868,-130.368267,17731.591467,0.017449
12,2.600000,0.451907,0.917434,45.190667,2658.864000,12343305.446400,-107.554133,12188.076800,0.014299
13,2.800000,0.346940,0.624898,34.694000,1694.133600,6034251.004800,-93.172533,9171.041067,0.011089
14,3.000000,0.274643,0.444213,27.464267,1117.083200,3024030.112000,-82.175733,7152.643200,0.007151
15,3.200000,0.241607,0.343397,24.160667,872.028533,1902466.533333,-74.903200,5962.128000,0.005088
16,3.400000,0.211392,0.278194,21.139200,679.165867,1225428.637867,-69.004533,5083.218133,0.003734
17,3.600000,0.191196,0.226388,19.119600,558.975200,846407.305600,-63.621333,4341.073067,0.002707
18,3.800000,0.175696,0.197288,17.569600,476.238400,628524.448000,-59.287200,3799.856000,0.002455
19,4.000000,0.163643,0.172724,16.364267,419.066133,502298.075733,-55.518133,3358.620800,0.002128
20,4.200000,0.159351,0.151155,15.935067,393.988000,439456.937600,-52.848533,3059.605333,0.001851
21,4.400000,0.149432,0.132564,14.943200,346.160000,344920.064000,-49.717600,2728.483200,0.001593
22,4.600000,0.143611,0.121421,14.361067,320.346133,296232.642133,-47.122933,2477.498667,0.001434
23,4.800000,0.138517,0.108548,13.851733,299.437867,256930.909867,-44.949867,2270.585600,0.001278
24,5.000000,0.134448,0.098456,13.444800,283.193600,232742.528000,-42.909333,2087.351467,0.001217
