idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2,c_error
0,0.200000,1.000000,0.000000,100.000000,10000.000000,100000000.000014,-200.000000,40000.000000,0.000000
1,0.400000,1.000000,0.000000,100.000000,10000.000000,100000000.000014,-200.000000,40000.000000,0.000000
2,0.600000,1.000000,0.000000,100.000000,10000.000000,100000000.000014,-200.000000,40000.000000,0.000000
3,0.800000,0.999893,0.005322,99.989333,9997.888533,99958627.086948,-199.957600,39983.382400,0.000622
4,1.000000,0.999289,0.022777,99.928933,9985.944800,99725067.760013,-199.721600,39890.995200,0.001121
5,1.200000,0.996967,0.069649,99.696667,9940.182133,98836390.667742,-198.848800,39550.874667,0.002003
6,1.400000,0.991532,0.139929,99.153200,9833.697333,96789740.792535,-196.864800,38783.175467,0.003089
7,1.600000,0.979592,0.265089,97.959200,9603.102933,92475623.406930,-192.839467,37254.922667,0.005472
8,1.800000,0.956477,0.439236,95.647733,9169.468267,84747574.397864,-185.820800,34671.682133,0.010963
9,2.000000,0.912991,0.696897,91.299067,8400.956000,72335034.672003,-174.786400,30829.044267,0.014362
10,2.200000,0.818472,1.090745,81.847200,6950.372267,52847785.860268,-156.825867,25122.273067,0.021038
11,2.400000,0.635603,1.275551,63.560267,4624.076267,28520401.700268,-130.913600,17873.088000,0.017755
12,2.600000,0.456705,0.926254,45.670533,2711.064267,12733070.023467,-108.181333,12329.348267,0.014986
13,2.800000,0.346428,0.617567,34.642800,1681.297333,5931483.858133,-93.191733,9168.871467,0.010377
14,3.000000,0.275233,0.436794,27.523333,1117.187467,2994210.778666,-82.404267,7183.577600,0.007148
15,3.200000,0.236611,0.347530,23.661067,843.228800,1813424.486400,-74.891733,5964.642133,0.004778
16,3.400000,0.209063,0.274151,20.906267,663.977867,1173764.237867,-68.693067,5035.655467,0.003595
17,3.600000,0.191877,0.229474,19.187733,564.365333,861171.074133,-63.670133,4351.284267,0.002857
18,3.800000,0.178591,0.201435,17.859067,495.765067,695647.981867,-59.428000,3822.558933,0.002604
19,4.000000,0.165819,0.172896,16.581867,423.340800,497949.030400,-55.684000,3377.340800,0.002071
20,4.200000,0.155429,0.148911,15.542933,375.304000,404026.553600,-52.229600,2990.610133,0.001824
21,4.400000,0.151431,0.135295,15.143067,354.214667,356096.679467,-49.684000,2730.430933,0.001616
22,4.600000,0.146224,0.119688,14.622400,330.312000,307014.636800,-47.201067,2481.201067,0.001445
23,4.800000,0.140116,0.108128,14.011600,306.268533,273106.456533,-44.908800,2265.926400,0.001324
24,5.000000,0.134655,0.098541,13.465467,284.069067,232835.066667,-42.706933,2070.234667,0.001185
