,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2,size
0,2.120000,0.856986,-43744.084314,56163.435667,-1140470124.175780,-107621.237778,-1302270423.384881,-1302270423.384881
1,2.140000,0.843449,-42930.129869,55276.270000,-1239279988.338200,-106237.152889,-1598229937.712015,-1598229937.712015
2,2.160000,0.827451,-41634.616918,54227.834667,-1354003092.847993,-104729.980222,-1762029958.992889,-1762029958.992889
3,2.180000,0.808247,-30420.400796,52969.246444,-1488773726.206203,-103102.788000,1155651091.907568,1155651091.907568
4,2.200000,0.784578,-27083.331647,51418.131889,-1650189885.213541,-101341.587333,1679440524.857789,1679440524.857789
5,2.220000,0.753592,-26593.624702,49387.383222,-1792230577.534873,-99400.813333,1291110077.747577,1291110077.747577
6,2.240000,0.708180,-26120.685728,46411.262889,-340195398.923114,-97189.550889,856454026.031106,856454026.031106
7,2.260000,0.613706,-25659.767646,40219.836333,1591295222.776658,-94433.905556,328625550.279999,328625550.279999
8,2.280000,0.315252,-25211.324629,20660.330667,541410942.533333,-90893.038000,-327508772.859554,-327508772.859554
9,2.300000,0.131742,-24775.587470,8633.875222,113537123.984222,-88008.609333,-843820126.483561,-843820126.483561
10,2.320000,0.084020,-24350.090343,5506.307667,47685997.674000,-85560.398444,-1268692617.503084,-1268692617.503084
11,2.340000,0.067302,-23935.795389,4410.725667,30988550.274000,-83849.760667,-1558551999.280879,-1558551999.280879
12,2.360000,0.053576,-23383.193975,3511.168000,18917342.807556,-81965.313556,-1816770769.410677,-1816770769.410677
13,2.380000,0.043233,-18513.734312,2833.321667,12671532.178445,-80485.089778,-394857994.247115,-394857994.247115
14,2.400000,0.040005,-11412.274055,2621.780667,10947373.529778,-78837.826889,1907413743.958250,1907413743.958250
15,2.420000,0.035288,-11189.266869,2312.622333,8264905.038000,-77102.750222,1650337181.201792,1650337181.201792
16,2.440000,0.030260,-11006.725512,1983.127444,6247590.329111,-76005.108889,1482226024.119124,1482226024.119124
17,2.460000,0.029576,-10828.323735,1938.324222,5804441.280444,-74859.453111,1309449890.994683,1309449890.994683
18,2.480000,0.026040,-10653.743381,1706.579111,4452602.348444,-73185.923778,1061947241.474677,1061947241.474677
19,2.500000,0.025068,-10484.681550,1642.854444,4337842.449333,-71864.599333,869995074.265783,869995074.265783
20,2.520000,0.024475,-10317.179658,1603.969889,4076591.095333,-71130.134889,765694174.128889,765694174.128889
21,2.540000,0.022322,-10155.726655,1462.879889,3585612.765556,-69469.595333,532060992.235549,532060992.235549
22,2.560000,0.019215,-9996.115522,1259.253111,2374769.356000,-68930.818667,458158836.792884,458158836.792884
23,2.580000,0.018896,-9841.605202,1238.392000,2321226.212889,-67553.206000,270194506.539556,270194506.539556
24,2.600000,0.017120,-9688.247494,1121.978889,1988330.756889,-66108.818444,78255918.649778,78255918.649778
