idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2,c_error
0,0.200000,1.000000,0.000000,100.000000,10000.000000,100000000.000014,-200.000000,40000.000000,0.000000
1,0.400000,1.000000,0.000000,100.000000,10000.000000,100000000.000014,-200.000000,40000.000000,0.000000
2,0.600000,1.000000,0.000000,100.000000,10000.000000,100000000.000014,-200.000000,40000.000000,0.000000
3,0.800000,0.999917,0.004116,99.991733,9998.363200,99967912.172814,-199.966933,39987.037867,0.000000
4,1.000000,0.999320,0.022066,99.932000,9986.554133,99737093.006946,-199.734133,39895.930667,0.000002
5,1.200000,0.997036,0.067499,99.703600,9941.536267,98862220.071475,-198.868800,39558.519467,0.000004
6,1.400000,0.991376,0.143712,99.137600,9830.627200,96730690.598402,-196.813867,38763.865600,0.000009
7,1.600000,0.979544,0.265255,97.954400,9601.925867,92446251.940263,-192.797867,37238.922667,0.000031
8,1.800000,0.956008,0.444151,95.600800,9165.861333,84743208.814932,-185.842933,34681.500800,0.000211
9,2.000000,0.910977,0.720175,91.097733,8374.148533,72004484.638937,-174.489067,30734.504533,0.000390
10,2.200000,0.814635,1.115620,81.463467,6899.484800,52258826.201601,-156.157333,24925.073067,0.000794
11,2.400000,0.634363,1.302638,63.436267,4626.632000,28667059.756801,-130.837333,17868.727467,0.000273
12,2.600000,0.451567,0.922426,45.156667,2664.506400,12456487.772800,-107.725333,12228.307200,0.000251
13,2.800000,0.343013,0.616876,34.301333,1658.260800,5859701.446400,-92.720800,9080.777600,0.000148
14,3.000000,0.283563,0.441074,28.356267,1176.369600,3235508.076800,-82.972000,7281.319467,0.000054
15,3.200000,0.240455,0.338973,24.045467,866.685600,1896553.590400,-75.138133,5992.846933,0.000025
16,3.400000,0.210617,0.284330,21.061733,680.030133,1252460.062933,-68.795200,5061.465600,0.000020
17,3.600000,0.190409,0.231184,19.040933,557.405067,848097.114667,-63.504800,4332.474667,0.000012
18,3.800000,0.178404,0.193305,17.840400,487.744800,651393.104000,-59.558667,3826.366933,0.000006
19,4.000000,0.165983,0.173364,16.598267,427.585867,517396.295467,-55.871467,3399.003733,0.000005
20,4.200000,0.156309,0.150026,15.630933,379.298133,406915.246933,-52.599733,3031.378133,0.000004
21,4.400000,0.152484,0.133421,15.248400,359.402933,363066.142933,-49.529600,2711.483733,0.000002
22,4.600000,0.144268,0.119329,14.426800,324.446667,297575.508267,-47.115200,2472.341333,0.000002
23,4.800000,0.141372,0.106734,14.137200,307.600267,264447.834667,-45.098667,2279.803733,0.000001
24,5.000000,0.134327,0.098240,13.432667,283.006133,235721.835733,-42.726667,2071.166933,0.000002
