,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2,size
0,2.120000,0.856719,1.001314,8567.191333,73422204.184445,-16419.151111,269633526.261331,269633526.261331
1,2.140000,0.843336,1.102831,8433.358111,71155279.807778,-16209.375556,262794361.157336,262794361.157336
2,2.160000,0.827033,1.198810,8270.332889,68446863.037778,-15975.348667,255267696.680003,255267696.680003
3,2.180000,0.808117,1.275661,8081.168556,65372025.891778,-15731.377778,247536871.304894,247536871.304894
4,2.200000,0.784810,1.385907,7848.097000,61697140.822890,-15464.082000,239204909.993782,239204909.993782
5,2.220000,0.752677,1.598561,7526.769444,56855601.508223,-15161.554222,229951509.934223,229951509.934223
6,2.240000,0.706286,1.842523,7062.858778,50390751.605556,-14819.704000,219716077.066668,219716077.066668
7,2.260000,0.624221,2.248390,6242.207111,40496773.605778,-14419.508222,208037056.136002,208037056.136002
8,2.280000,0.489584,2.317953,4895.835778,27000882.206667,-13955.258444,194869734.711999,194869734.711999
9,2.300000,0.330200,2.055909,3302.003333,14197942.643555,-13485.406222,181964938.577773,181964938.577773
10,2.320000,0.220254,1.683693,2202.539222,6995510.654000,-13090.910000,171462547.698666,171462547.698666
11,2.340000,0.171728,1.440674,1717.279667,4332021.815333,-12797.307778,163849971.892446,163849971.892446
12,2.360000,0.138518,1.527349,1385.180778,2931513.880222,-12518.853111,156806750.443557,156806750.443557
13,2.380000,0.114736,1.185736,1147.358667,2012213.879111,-12284.563556,150977666.604444,150977666.604444
14,2.400000,0.100305,1.112624,1003.051667,1526676.038444,-12012.190222,144356801.063110,144356801.063110
15,2.420000,0.088063,1.053471,880.628444,1216018.028000,-11787.914889,139016632.898665,139016632.898665
16,2.440000,0.082942,0.971512,829.417000,1057339.978889,-11617.796000,135031023.834665,135031023.834665
17,2.460000,0.071532,1.046933,715.318222,797668.999111,-11397.720444,129971387.500446,129971387.500446
18,2.480000,0.067392,0.736621,673.923667,704924.447333,-11208.657333,125679304.360894,125679304.360894
19,2.500000,0.064910,0.935731,649.101111,660568.324000,-11056.167778,122297329.143999,122297329.143999
20,2.520000,0.060352,0.930287,603.524444,579747.109333,-10988.971778,120816577.709335,120816577.709335
21,2.540000,0.058470,0.802078,584.704667,529483.728000,-10726.281111,115104853.351999,115104853.351999
22,2.560000,0.055026,0.532150,550.261444,467529.411778,-10595.953556,112309106.763554,112309106.763554
23,2.580000,0.048134,0.664656,481.343889,368110.773556,-10385.852222,107910168.575110,107910168.575110
24,2.600000,0.048539,0.592208,485.385667,359258.422889,-10316.105556,106462067.090668,106462067.090668
