,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2,size
0,2.120000,0.856963,1.000697,8569.629444,73463820.048668,-16422.520667,269744160.374221,269744160.374221
1,2.140000,0.843341,1.106217,8433.414000,71156181.302223,-16211.657556,262868501.032001,262868501.032001
2,2.160000,0.827565,1.172458,8275.653000,68532336.250000,-15982.453778,255493530.952892,255493530.952892
3,2.180000,0.808400,1.281622,8084.004556,65419584.462889,-15734.977556,247650426.466670,247650426.466670
4,2.200000,0.785009,1.427625,7850.092333,61733416.806889,-15468.086000,239330781.574223,239330781.574223
5,2.220000,0.753838,1.566898,7538.376667,57022018.106223,-15167.127111,230118967.808001,230118967.808001
6,2.240000,0.706871,1.850743,7068.707000,50490630.031333,-14823.759111,219836697.061333,219836697.061333
7,2.260000,0.626597,2.303998,6265.967222,40772361.554889,-14424.841111,208193720.075557,208193720.075557
8,2.280000,0.489132,2.365640,4891.319000,27108499.998000,-13959.691778,194995969.938666,194995969.938666
9,2.300000,0.336798,1.952021,3367.977444,14590733.102000,-13502.204444,182412786.792883,182412786.792883
10,2.320000,0.225840,1.826627,2258.397222,7349804.365111,-13105.168222,171843750.502221,171843750.502221
11,2.340000,0.169020,1.458261,1690.200000,4262453.890667,-12813.330889,164261296.994668,164261296.994668
12,2.360000,0.138367,1.407763,1383.673889,2936897.436222,-12541.059556,157356581.528889,157356581.528889
13,2.380000,0.112732,1.226540,1127.321556,1960744.843111,-12262.027333,150426790.475556,150426790.475556
14,2.400000,0.097758,1.259974,977.580667,1501183.228000,-12024.947556,144671938.231112,144671938.231112
15,2.420000,0.091281,1.015360,912.805222,1292401.370000,-11790.359111,139072031.528888,139072031.528888
16,2.440000,0.080171,0.895437,801.712556,1004337.386444,-11572.519111,133976509.290666,133976509.290666
17,2.460000,0.072128,1.014184,721.277444,822043.372667,-11429.212222,130688266.395556,130688266.395556
18,2.480000,0.068978,0.799147,689.783111,735798.625333,-11254.574444,126714596.680005,126714596.680005
19,2.500000,0.063681,1.009191,636.810000,623855.048444,-11045.105111,122057421.376891,122057421.376891
20,2.520000,0.060283,0.899296,602.828333,569240.777556,-10923.748000,119385379.290665,119385379.290665
21,2.540000,0.058953,1.002815,589.531778,526314.797778,-10683.105333,114193437.162666,114193437.162666
22,2.560000,0.053009,0.668697,530.088667,441029.900889,-10560.262000,111562957.227556,111562957.227556
23,2.580000,0.050360,0.758309,503.604778,393757.307778,-10424.615333,108723080.921778,108723080.921778
24,2.600000,0.047806,0.682273,478.059333,371136.892889,-10272.364889,105567602.040890,105567602.040890
