idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2,c_error
0,0.200000,1.000000,0.000000,100.000000,10000.000000,100000000.000014,-200.000000,40000.000000,0.000000
1,0.400000,1.000000,0.000000,100.000000,10000.000000,100000000.000014,-200.000000,40000.000000,0.000000
2,0.600000,0.999995,0.000474,99.999467,9999.894400,99997929.817615,-199.997867,39999.163733,0.000235
3,0.800000,0.999888,0.005719,99.988800,9997.783467,99956587.639481,-199.955467,39982.554667,0.000708
4,1.000000,0.999304,0.022124,99.930400,9986.232533,99730608.328546,-199.726933,39893.060267,0.001038
5,1.200000,0.997028,0.066690,99.702800,9941.353867,98857769.754675,-198.862133,39555.751467,0.001960
6,1.400000,0.991307,0.146875,99.130667,9829.259733,96704141.576535,-196.775467,38749.371733,0.003560
7,1.600000,0.979661,0.261872,97.966133,9604.243200,92490926.489596,-192.839467,37254.099200,0.005514
8,1.800000,0.955743,0.460711,95.574267,9160.234400,84674332.636798,-185.796267,34669.523200,0.013855
9,2.000000,0.909756,0.755108,90.975600,8360.097333,71910724.203737,-174.370400,30707.079467,0.020817
10,2.200000,0.807473,1.167441,80.747333,6826.039200,51670428.931201,-155.641333,24789.266133,0.029228
11,2.400000,0.628381,1.317509,62.838133,4565.222933,28200386.894935,-130.199200,17710.716800,0.018073
12,2.600000,0.454968,0.915954,45.496800,2680.123733,12425970.862934,-107.734400,12225.885867,0.013684
13,2.800000,0.349525,0.607591,34.952533,1703.552000,5998498.355200,-93.145600,9152.454400,0.009706
14,3.000000,0.279720,0.442966,27.972000,1150.027200,3142653.216000,-82.839733,7261.091200,0.007515
15,3.200000,0.234365,0.337109,23.436533,836.719467,1828428.913067,-74.861333,5949.418667,0.005095
16,3.400000,0.210297,0.280801,21.029733,671.396000,1197590.057600,-68.709333,5045.578667,0.003863
17,3.600000,0.193139,0.235622,19.313867,570.174933,875792.046933,-63.695733,4362.512000,0.003224
18,3.800000,0.176580,0.198453,17.658000,481.986933,651227.608533,-59.498133,3826.594133,0.002434
19,4.000000,0.166799,0.171845,16.679867,427.397067,501361.287467,-55.859733,3395.261867,0.002170
20,4.200000,0.156965,0.151882,15.696533,384.098667,421459.031467,-52.438933,3017.762133,0.002008
21,4.400000,0.149107,0.132466,14.910667,345.052267,340617.828267,-49.671200,2723.683200,0.001434
22,4.600000,0.142840,0.121483,14.284000,318.500800,292912.416000,-46.888533,2455.592533,0.001324
23,4.800000,0.138925,0.108673,13.892533,301.796267,266727.825067,-44.895733,2266.008533,0.001453
24,5.000000,0.134928,0.097353,13.492800,283.416000,232722.246400,-42.732533,2069.451733,0.001230
