,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2,size
0,2.120000,0.860519,0.968021,86.051889,7577.470000,-164.365556,27451.103111,27451.103111
1,2.140000,0.852157,0.984075,85.215667,7452.330444,-162.851556,26971.296000,26971.296000
2,2.160000,0.838688,1.042500,83.868778,7253.047778,-160.580000,26272.325333,26272.325333
3,2.180000,0.822734,1.122140,82.273444,7027.870444,-157.875556,25457.976889,25457.976889
4,2.200000,0.810516,1.143667,81.051556,6853.973333,-155.838222,24839.086222,24839.086222
5,2.220000,0.794582,1.191481,79.458222,6643.782667,-153.579333,24173.821333,24173.821333
6,2.240000,0.780269,1.199102,78.026889,6437.085778,-151.123778,23440.057778,23440.057778
7,2.260000,0.762087,1.248933,76.208667,6199.769778,-148.588000,22716.298667,22716.298667
8,2.280000,0.749752,1.280568,74.975222,6034.258000,-146.360667,22087.135111,22087.135111
9,2.300000,0.726007,1.301745,72.600667,5740.232000,-143.366667,21242.624000,21242.624000
10,2.320000,0.712009,1.294314,71.200889,5563.360000,-141.392444,20688.474667,20688.474667
11,2.340000,0.693841,1.296721,69.384111,5332.026889,-138.796444,19974.485333,19974.485333
12,2.360000,0.672981,1.296320,67.298111,5078.272667,-136.030000,19226.159111,19226.159111
13,2.380000,0.656976,1.315531,65.697556,4888.012000,-133.513333,18570.979556,18570.979556
14,2.400000,0.634263,1.289635,63.426333,4621.957111,-130.659111,17814.632889,17814.632889
15,2.420000,0.613766,1.276748,61.376556,4396.404222,-128.348889,17221.152000,17221.152000
16,2.440000,0.588397,1.223811,58.839667,4101.029556,-125.110667,16381.287111,16381.287111
17,2.460000,0.576773,1.199851,57.677333,3973.172000,-123.484000,15974.400000,15974.400000
18,2.480000,0.556282,1.159099,55.628222,3739.635111,-120.618222,15261.648000,15261.648000
19,2.500000,0.542773,1.147920,54.277333,3595.952889,-118.920222,14859.469333,14859.469333
20,2.520000,0.515127,1.072789,51.512667,3305.547111,-115.699778,14067.702222,14067.702222
21,2.540000,0.502088,1.024760,50.208778,3171.124222,-114.083333,13676.141333,13676.141333
22,2.560000,0.485688,1.014566,48.568778,3011.272667,-112.204000,13254.643556,13254.643556
23,2.580000,0.467819,0.980739,46.781889,2830.512222,-109.649333,12675.795556,12675.795556
24,2.600000,0.460288,0.936922,46.028778,2751.431333,-108.776222,12465.625778,12465.625778
