,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2,sigma**4
0,2.206000,0.776825,1.454012,7159.219000,51356581.282000,-147.638833,21804.300964,21804.300964,1328699316416.283447
1,2.212000,0.767323,1.439762,7071.652000,50131658.880000,-146.783125,21552.330462,21552.330462,1268103854788.153076
2,2.218000,0.756186,1.487091,6969.011000,48726918.086000,-145.713792,21239.824859,21239.824859,1201301708839.669434
3,2.224000,0.743674,1.742655,6853.699000,47190109.794000,-144.826146,20983.231996,20983.231996,1131918043351.957520
4,2.230000,0.731984,1.791627,6745.964000,45768978.144000,-144.085500,20769.540894,20769.540894,1068544536033.355713
5,2.236000,0.717064,1.809875,6608.465000,44063501.014000,-142.996042,20456.916757,20456.916757,997750166317.352661
6,2.242000,0.699586,1.926225,6447.388000,42087910.204000,-142.065771,20192.365536,20192.365536,918605755215.592041
7,2.248000,0.688654,1.787830,6346.635000,40802276.786000,-140.968417,19881.129304,19881.129304,863423445434.675537
8,2.254000,0.659719,1.858528,6079.974000,37797711.192000,-139.641583,19509.214076,19509.214076,759399701734.211914
9,2.260000,0.626017,2.243917,5769.377000,34654742.914000,-138.347000,19151.353439,19151.353439,660207032957.746460
10,2.266000,0.581072,2.598112,5355.164000,30693074.764000,-136.761354,18717.008662,18717.008662,544665683343.517517
11,2.272000,0.550294,2.408204,5071.512000,28189381.912000,-135.929708,18489.316719,18489.316719,478365494948.249146
12,2.278000,0.498522,2.357393,4594.375000,23902794.586000,-134.505937,18104.080407,18104.080407,368851854453.976318
13,2.284000,0.462661,1.959311,4263.881000,20876166.970000,-133.132896,17734.589004,17734.589004,292663501564.989075
14,2.290000,0.388339,2.153957,3578.934000,15745725.784000,-130.977125,17166.302837,17166.302837,193069987733.611847
15,2.296000,0.383864,2.412065,3537.687000,15662292.458000,-130.938083,17157.497149,17157.497149,194569059359.184174
16,2.302000,0.339419,1.739540,3128.083000,12537455.062000,-129.417479,16758.102091,16758.102091,131670429954.661972
17,2.308000,0.256425,1.358669,2363.214000,7887530.712000,-127.069479,16153.889982,16153.889982,64172358598.043571
18,2.314000,0.264723,1.792812,2439.685000,8244289.430000,-126.991750,16136.504352,16136.504352,68368848167.199852
19,2.320000,0.261265,1.519876,2407.819000,7978822.546000,-126.645750,16047.326575,16047.326575,64560253200.498688
20,2.326000,0.221494,1.428717,2041.291000,5899209.338000,-125.669188,15800.474438,15800.474438,38675895972.510887
21,2.332000,0.209103,1.992513,1927.093000,5289506.046000,-124.133792,15420.033967,15420.033967,30549982653.943996
22,2.338000,0.170659,1.410827,1572.792000,3678173.620000,-122.169708,14933.149557,14933.149557,16766716003.534460
23,2.344000,0.164561,1.410557,1516.596000,3510007.812000,-121.665750,14810.304799,14810.304799,16482957944.322100
24,2.350000,0.168713,1.022167,1554.863000,3615749.542000,-121.157646,14684.820062,14684.820062,16481092233.524683
