,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2,size
0,2.251200,14646.392527,4.468202,6681.135511,45549038.479426,-14607.463400,213481282.279940,213481282.279940
1,2.252400,14755.585602,4.561542,6640.556944,45061985.831758,-14586.793311,212878687.070338,212878687.070338
2,2.253600,14800.018618,4.685987,6584.126167,44396795.900337,-14559.865067,212095545.072205,212095545.072205
3,2.254800,14903.284055,4.854861,6518.889667,43643631.340625,-14529.973200,211228086.576027,211228086.576027
4,2.256000,15032.702776,4.998323,6458.495433,42930912.805936,-14504.722644,210496273.121181,210496273.121181
5,2.257200,15134.200264,5.202768,6398.448278,42250241.225936,-14477.787600,209718403.892466,209718403.892466
6,2.258400,15196.602312,5.294226,6343.146433,41626216.855668,-14454.100133,209033720.670775,209033720.670775
7,2.259600,15334.776613,5.469696,6283.370867,40933670.076269,-14427.206533,208258718.788109,208258718.788109
8,2.260800,15530.631277,5.655633,6207.624400,40098345.816357,-14398.033467,207418910.226152,207418910.226152
9,2.262000,15596.210547,5.846704,6147.297300,39461627.075223,-14376.166378,206792072.654690,206792072.654690
10,2.263200,15727.369343,5.992651,6065.539611,38564219.807224,-14344.510644,205883365.599222,205883365.599222
11,2.264400,15844.880247,6.040156,6005.252544,37900804.965400,-14319.683222,205170708.294508,205170708.294508
12,2.265600,15923.104285,6.376711,5909.785556,36929989.577823,-14288.335378,204278008.533714,204278008.533714
13,2.266800,16124.268646,6.622765,5834.858611,36172110.993355,-14260.152667,203475098.878066,203475098.878066
14,2.268000,16295.976607,6.747977,5757.907633,35379479.001133,-14233.966156,202728435.861094,202728435.861094
15,2.269200,16452.097161,7.031900,5675.439211,34540507.467977,-14205.304778,201915593.617716,201915593.617716
16,2.270400,16617.063572,7.141248,5614.012300,33903047.807444,-14181.439600,201237594.060651,201237594.060651
17,2.271600,16776.736532,7.470142,5486.179767,32680536.017932,-14141.991933,200121989.407763,200121989.407763
18,2.272800,16963.878866,7.622835,5403.215789,31823873.182688,-14114.276356,199338216.844293,199338216.844293
19,2.274000,17049.867251,7.900513,5329.043944,31166925.984155,-14092.238533,198718879.125359,198718879.125359
20,2.275200,17330.066619,8.083265,5221.021622,30106138.582799,-14057.699222,197744968.561717,197744968.561717
21,2.276400,17497.786568,8.698323,5132.883078,29326160.143844,-14029.446778,196957601.081892,196957601.081892
22,2.277600,17729.147074,8.764561,5021.145378,28276816.398889,-13999.391867,196111738.291760,196111738.291760
23,2.278800,17987.693591,8.864541,4939.857611,27528199.204733,-13973.368378,195381441.443676,195381441.443676
24,2.280000,18179.804496,9.298507,4825.632822,26524619.464400,-13940.164933,194456504.661896,194456504.661896
