idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2,c_dev(bootstrap)
0,0.125000,1.000000,0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000,0.000000
1,0.250000,1.000000,0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000,0.000000
2,0.375000,1.000000,0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000,0.000000
3,0.500000,1.000000,0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000,0.000000
4,0.625000,1.000000,0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000,0.000000
5,0.750000,0.999984,0.000910,24.999600,624.980800,390602.843200,-49.998400,2499.852800,0.000780
6,0.875000,0.999804,0.008549,24.995100,624.765600,390356.121600,-49.980600,2498.224000,0.002677
7,1.000000,0.999228,0.024765,24.980700,624.077200,389567.375200,-49.924600,2493.084800,0.004222
8,1.125000,0.998128,0.047976,24.953200,622.766000,388071.850400,-49.817800,2483.331200,0.004519
9,1.250000,0.995996,0.083575,24.899900,620.248400,385240.517600,-49.617200,2465.131200,0.007612
10,1.375000,0.991996,0.141189,24.799900,615.616400,380182.402400,-49.265000,2433.713600,0.010822
11,1.500000,0.986828,0.191744,24.670700,609.608400,373589.637600,-48.802000,2392.420800,0.011050
12,1.625000,0.977004,0.284878,24.425100,598.571600,362038.546400,-47.998600,2322.672000,0.016241
13,1.750000,0.965744,0.363131,24.143600,586.170000,349401.928800,-47.106800,2246.852800,0.017138
14,1.875000,0.944828,0.504731,23.620700,564.657600,329043.489600,-45.632800,2126.713600,0.023416
15,2.000000,0.916560,0.651025,22.914000,536.424800,303477.756800,-43.741000,1978.377600,0.027043
16,2.125000,0.880800,0.784354,22.020000,503.516800,276067.038400,-41.591800,1818.424000,0.030396
17,2.250000,0.832196,0.884477,20.804900,460.682400,242412.249600,-38.947400,1628.841600,0.027801
18,2.375000,0.777472,0.933264,19.436800,414.167600,207601.680800,-35.992400,1427.057600,0.020876
19,2.500000,0.727264,0.911109,18.181600,372.493600,177612.851200,-33.312400,1252.076800,0.016526
20,2.625000,0.659752,0.885591,16.493800,321.420400,145018.784800,-30.159600,1062.158400,0.012305
21,2.750000,0.602060,0.782922,15.051500,277.288800,116327.625600,-27.309800,893.846400,0.012019
22,2.875000,0.565860,0.686271,14.146500,249.854400,99107.419200,-25.372800,785.590400,0.011930
23,3.000000,0.518280,0.587543,12.957000,216.808800,80413.852800,-23.231800,671.913600,0.011718
24,3.125000,0.481108,0.506761,12.027700,192.272800,67259.008000,-21.524400,587.020800,0.010835
25,3.250000,0.449652,0.438323,11.241300,171.482000,56486.703200,-20.065200,518.356800,0.009811
26,3.375000,0.429692,0.384865,10.742300,158.426800,49738.813600,-19.085000,473.833600,0.009125
27,3.500000,0.403060,0.335824,10.076500,142.233200,42143.789600,-17.774600,418.782400,0.007913
28,3.625000,0.379264,0.287234,9.481600,128.326800,35901.448800,-16.761600,375.312000,0.007642
29,3.750000,0.362408,0.249578,9.060200,117.629600,30842.508800,-15.830000,338.331200,0.006521
30,3.875000,0.348584,0.227324,8.714600,110.379200,27964.884800,-15.191600,316.120000,0.005420
31,4.000000,0.332184,0.200129,8.304600,100.957600,24200.780800,-14.301600,284.587200,0.005114
32,4.125000,0.329120,0.182525,8.228000,98.664800,22654.832000,-13.957200,272.448000,0.004035
33,4.250000,0.311960,0.162138,7.799000,89.951600,19613.645600,-13.189600,247.180800,0.003686
34,4.375000,0.311300,0.155295,7.782500,89.214800,19256.300000,-12.948800,241.982400,0.003438
35,4.500000,0.302232,0.144371,7.555800,84.960000,17900.606400,-12.530600,230.104000,0.002891
36,4.625000,0.296372,0.132929,7.409300,81.834400,16714.412800,-12.101400,217.529600,0.002774
37,4.750000,0.288800,0.121800,7.220000,77.537200,15051.268000,-11.675600,205.022400,0.002753
38,4.875000,0.280360,0.114387,7.009000,73.765600,14083.350400,-11.232800,194.137600,0.002479
39,5.000000,0.273964,0.107294,6.849100,70.820400,13170.103200,-10.837000,184.499200,0.002452
