idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2,c_error
0,0.200000,1.000000,0.000000,100.000000,10000.000000,100000000.000014,-200.000000,40000.000000,0.000000
1,0.400000,1.000000,0.000000,100.000000,10000.000000,100000000.000014,-200.000000,40000.000000,0.000000
2,0.600000,0.999995,0.000118,99.999467,9999.894400,99997929.817614,-199.998933,39999.577600,0.000059
3,0.800000,0.999895,0.001310,99.989467,9997.914400,99959113.897614,-199.978933,39991.657600,0.000147
4,1.000000,0.999307,0.005494,99.930667,9986.283733,99731552.456546,-199.863733,39946.061333,0.000253
5,1.200000,0.997051,0.017122,99.705067,9941.801600,98866529.715209,-199.430933,39775.162667,0.000512
6,1.400000,0.991571,0.035494,99.157067,9834.393067,96801269.988268,-198.431600,39382.056800,0.000780
7,1.600000,0.979431,0.065948,97.943067,9599.681333,92401846.853330,-192.370533,37023.304800,0.001252
8,1.800000,0.956748,0.108885,95.674800,9173.454133,84810504.901331,-188.957200,35740.102133,0.001970
9,2.000000,0.911595,0.181046,91.159467,8379.633600,72029933.216003,-179.260000,32206.565867,0.004433
10,2.200000,0.815329,0.285746,81.532933,6920.613067,52710403.066668,-156.326000,24576.119200,0.005974
11,2.400000,0.642751,0.316090,64.275067,4701.350667,29075621.453868,-123.793067,15506.791467,0.004583
12,2.600000,0.460441,0.236311,46.044133,2741.091467,12969201.204267,-144.158400,20941.390400,0.003869
13,2.800000,0.339253,0.152608,33.925333,1631.029867,5686582.730667,-76.237600,5931.816533,0.002595
14,3.000000,0.276899,0.107970,27.689867,1124.214933,3011063.234133,-79.302267,6386.022667,0.001690
15,3.200000,0.237612,0.084711,23.761200,842.927200,1781110.345600,-75.431067,5776.589600,0.001216
16,3.400000,0.210049,0.070771,21.004933,672.853067,1214493.767467,-82.370533,6866.715467,0.000994
17,3.600000,0.191235,0.057816,19.123467,561.635733,862011.637333,-69.723867,4936.346933,0.000754
18,3.800000,0.174256,0.049663,17.425600,473.092267,635777.809067,-55.681067,3172.094933,0.000615
19,4.000000,0.167487,0.042773,16.748667,436.066400,539215.945600,-40.006000,1668.916533,0.000535
20,4.200000,0.156648,0.038115,15.664800,381.778667,415506.724267,-42.204133,1848.424267,0.000457
21,4.400000,0.150273,0.033372,15.027333,347.701067,333796.065067,-40.814000,1730.391200,0.000385
22,4.600000,0.145220,0.030006,14.522000,328.880267,310918.375467,-51.624133,2728.544267,0.000358
23,4.800000,0.139025,0.027331,13.902533,301.026933,260740.312533,-46.474667,2222.866133,0.000325
24,5.000000,0.137139,0.024657,13.713867,291.521067,239784.644267,-23.507467,614.243200,0.000292
