idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2,c_dev(bootstrap)
0,0.125000,1.000000,0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000,0.000000
1,0.250000,1.000000,0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000,0.000000
2,0.375000,1.000000,0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000,0.000000
3,0.500000,1.000000,0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000,0.000000
4,0.625000,0.999992,0.000655,24.999800,624.990400,390613.921600,-49.999200,2499.926400,0.000454
5,0.750000,0.999956,0.002502,24.998900,624.947200,390564.068800,-49.995600,2499.595200,0.000877
6,0.875000,0.999788,0.008837,24.994700,624.745600,390331.422400,-49.978800,2498.049600,0.001113
7,1.000000,0.999128,0.027900,24.978200,623.957200,389428.895200,-49.914600,2492.164800,0.001805
8,1.125000,0.998324,0.043035,24.958100,622.997200,388330.348000,-49.835200,2484.908800,0.002250
9,1.250000,0.995900,0.086865,24.897500,620.138000,385126.652000,-49.610600,2464.604800,0.003567
10,1.375000,0.992804,0.124586,24.820100,616.494000,381057.098400,-49.324600,2438.804800,0.003825
11,1.500000,0.986112,0.205953,24.652800,608.919600,372995.364000,-48.762600,2389.376000,0.007879
12,1.625000,0.978048,0.268823,24.451200,599.678800,363107.212000,-48.074200,2328.875200,0.006843
13,1.750000,0.963072,0.398383,24.076800,584.156400,348039.981600,-46.993800,2238.918400,0.011960
14,1.875000,0.942028,0.525073,23.550700,562.284400,327139.597600,-45.498200,2116.235200,0.014554
15,2.000000,0.915708,0.666814,22.892700,536.764800,304783.185600,-43.816200,1986.540800,0.017487
16,2.125000,0.882708,0.762824,22.067700,505.140000,277379.520000,-41.744800,1828.744000,0.013997
17,2.250000,0.825488,0.909167,20.637200,454.760800,238016.944000,-38.578200,1603.344000,0.013627
18,2.375000,0.774520,0.960690,19.363000,412.648400,207539.621600,-35.963200,1428.824000,0.012472
19,2.500000,0.723696,0.930016,18.092400,370.666800,177110.416800,-33.241400,1250.305600,0.007903
20,2.625000,0.663796,0.868976,16.594900,323.640000,145661.755200,-30.266200,1065.737600,0.006637
21,2.750000,0.616872,0.787121,15.421800,288.516000,123161.241600,-27.968600,931.057600,0.005852
22,2.875000,0.562320,0.672727,14.058000,247.754000,98089.781600,-25.386800,783.502400,0.005784
23,3.000000,0.524788,0.584546,13.119700,221.602400,82919.408000,-23.572600,687.190400,0.005245
24,3.125000,0.481460,0.514698,12.036500,192.632400,67626.021600,-21.522800,588.889600,0.005407
25,3.250000,0.452952,0.433978,11.323800,173.575600,57300.234400,-20.232000,523.931200,0.004772
26,3.375000,0.432456,0.384366,10.811400,160.462400,50739.137600,-19.171400,476.996800,0.004422
27,3.500000,0.395880,0.324655,9.897000,138.207200,40382.268800,-17.634600,410.404800,0.003774
28,3.625000,0.382644,0.291167,9.566100,129.613200,36137.800800,-16.770400,376.899200,0.003453
29,3.750000,0.357232,0.253368,8.930800,115.624800,30486.998400,-15.776400,337.969600,0.003125
30,3.875000,0.351156,0.227492,8.778900,111.226800,28083.280800,-15.106400,313.601600,0.002616
31,4.000000,0.337116,0.200975,8.427900,102.990800,24484.863200,-14.429200,288.592000,0.002375
32,4.125000,0.325372,0.188079,8.134300,97.305200,22664.640800,-13.763400,269.438400,0.002233
33,4.250000,0.315240,0.168386,7.881000,92.076400,20656.314400,-13.348800,254.227200,0.001954
34,4.375000,0.307240,0.149072,7.681000,86.660400,18061.303200,-12.741600,233.681600,0.001512
35,4.500000,0.302924,0.143410,7.573100,85.051200,17839.732800,-12.463400,227.937600,0.001611
36,4.625000,0.291420,0.127460,7.285500,79.221200,15703.608800,-11.885800,209.433600,0.001218
37,4.750000,0.281516,0.115401,7.037900,73.940800,13775.905600,-11.342000,193.734400,0.001140
38,4.875000,0.281900,0.112244,7.047500,74.075600,13941.701600,-11.174000,191.547200,0.001195
39,5.000000,0.276608,0.107382,6.915200,72.069200,13462.335200,-10.938000,186.753600,0.001020
