idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2,c_error
0,0.200000,1.000000,0.000000,100.000000,10000.000000,100000000.000014,-200.000000,40000.000000,0.000000
1,0.400000,1.000000,0.000000,100.000000,10000.000000,100000000.000014,-200.000000,40000.000000,0.000000
2,0.600000,0.999995,0.000474,99.999467,9999.894400,99997929.817615,-199.997867,39999.163733,0.000375
3,0.800000,0.999900,0.005009,99.990000,9998.021067,99961245.549881,-199.960533,39984.535467,0.000914
4,1.000000,0.999353,0.020613,99.935333,9987.207733,99749665.310946,-199.745867,39900.472533,0.001333
5,1.200000,0.997117,0.065150,99.711733,9943.130133,98892870.581342,-198.900800,39570.909867,0.002586
6,1.400000,0.991355,0.143828,99.135467,9830.192533,96721727.822935,-196.798400,38757.800533,0.004242
7,1.600000,0.979341,0.266363,97.934133,9597.963733,92371017.403729,-192.728000,37212.270933,0.006450
8,1.800000,0.956244,0.457097,95.624400,9165.090400,84693135.087998,-185.831200,34681.334400,0.012477
9,2.000000,0.910259,0.746380,91.025867,8367.886933,72004527.918936,-174.468000,30737.635200,0.038994
10,2.200000,0.801611,1.174554,80.161067,6739.884800,50639869.926401,-154.877600,24555.555200,0.039917
11,2.400000,0.631189,1.273440,63.118933,4590.699200,28288864.352001,-130.643733,17801.286400,0.024958
12,2.600000,0.449909,0.933963,44.990933,2652.091733,12420660.987734,-107.581600,12205.159467,0.025220
13,2.800000,0.356447,0.646167,35.644667,1773.314933,6476388.018133,-93.598667,9267.305600,0.016562
14,3.000000,0.272567,0.431357,27.256667,1093.358133,2886407.365333,-82.307733,7162.784000,0.011748
15,3.200000,0.238857,0.336488,23.885733,847.906400,1796281.046400,-74.742667,5931.030400,0.006037
16,3.400000,0.212041,0.275459,21.204133,684.929867,1226559.303467,-68.768800,5047.578667,0.004549
17,3.600000,0.188804,0.230796,18.880400,552.641333,850989.304533,-63.435733,4323.204267,0.003578
18,3.800000,0.175049,0.195404,17.504933,476.070667,642845.569067,-59.161333,3782.226133,0.003213
19,4.000000,0.163095,0.172792,16.309467,413.838133,492991.864533,-55.609333,3368.865067,0.002121
20,4.200000,0.159420,0.149638,15.942000,395.397067,446600.237867,-52.594667,3030.161067,0.002096
21,4.400000,0.152335,0.131381,15.233467,356.196000,348270.057600,-49.707733,2725.211733,0.001630
22,4.600000,0.144683,0.118516,14.468267,325.717333,301305.160533,-47.036267,2463.189333,0.001379
23,4.800000,0.140059,0.107196,14.005867,305.954133,267399.867733,-44.859200,2259.328000,0.001253
24,5.000000,0.135727,0.099578,13.572667,289.278133,249836.498133,-43.103200,2106.832000,0.001301
