idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2
0,2.200000,0.784622,1.415580,7846.224286,61670128.942859,3828187194825841.500000,-154.647143,23922.590201
1,2.203846,0.779983,1.456049,7799.830571,60958766.798287,3743624440236346.500000,-154.170763,23775.696059
2,2.207692,0.774112,1.431289,7741.120429,60055982.583144,3636032737860685.000000,-153.566506,23589.647644
3,2.211538,0.768426,1.501738,7684.261857,59189169.847144,3534667635498111.000000,-153.002357,23417.066143
4,2.215385,0.761810,1.521097,7618.102143,58205626.392858,3423559151527213.500000,-152.399183,23232.976372
5,2.219231,0.756228,1.537090,7562.279714,57369148.981716,3328560917993268.000000,-151.859086,23068.752062
6,2.223077,0.749661,1.586515,7496.610429,56412327.541430,3225169606088405.500000,-151.326169,22907.449965
7,2.226923,0.740566,1.656816,7405.660000,55104812.365715,3086269380556995.000000,-150.599660,22688.474052
8,2.230769,0.731523,1.734056,7315.231286,53830157.259715,2955318718209792.500000,-149.912457,22482.374046
9,2.234615,0.722215,1.752081,7222.148571,52536881.900572,2824653903098047.500000,-149.252283,22284.992964
10,2.238462,0.710745,1.906612,7107.450571,50991924.018286,2676226938682110.500000,-148.501134,22062.140366
11,2.242308,0.700082,1.955438,7000.816714,49606648.653429,2547868339222381.000000,-147.855309,21871.024104
12,2.246154,0.688695,1.955775,6886.951857,48108301.766572,2408764819526113.000000,-147.138591,21659.632377
13,2.250000,0.675228,1.940450,6752.283857,46412771.007143,2260276265054289.500000,-146.411183,21446.057994
14,2.253846,0.658768,2.143334,6587.681286,44383015.423143,2091678291782871.750000,-145.516191,21185.849722
15,2.257692,0.633672,2.294571,6336.721000,41567530.599714,1879679709283853.750000,-144.502900,20892.783936
16,2.261538,0.614526,2.313089,6145.255286,39469039.624286,1729106896200104.000000,-143.819766,20695.955433
17,2.265385,0.584966,2.471645,5849.664571,36389924.200000,1519074007432611.500000,-142.727491,20383.821211
18,2.269231,0.565121,2.479654,5651.205714,34271220.555999,1375908793046811.250000,-141.971123,20168.568477
19,2.273077,0.540631,2.439982,5406.306286,31835414.855428,1224552949608573.000000,-141.172400,19942.253615
20,2.276923,0.503691,2.393493,5036.910000,28437493.850285,1030702525664920.625000,-140.011960,19615.757718
21,2.280769,0.476137,2.473279,4761.371571,26015133.710571,901911737747183.625000,-139.227331,19397.115585
22,2.284615,0.449200,2.351188,4491.996714,23559521.750571,767276901834445.125000,-138.441120,19178.215657
23,2.288462,0.423594,2.356067,4235.944857,21411527.418286,662938863752088.875000,-137.596317,18945.085348
24,2.292308,0.384550,2.245042,3845.499286,18152201.933429,508597941504321.875000,-136.296251,18588.465118
25,2.296154,0.352088,2.207632,3520.876286,15772900.987429,413228496929015.875000,-135.523249,18378.190252
26,2.300000,0.332307,2.058857,3323.074429,14373554.272857,357875757144378.500000,-134.828377,18189.582635
27,2.303846,0.311771,1.987441,3117.710286,12829399.128572,297038136329560.375000,-134.067309,17984.591981
28,2.307692,0.283132,1.996252,2831.322286,10966002.757714,234728534027596.718750,-133.433523,17815.135951
29,2.311538,0.264539,1.665227,2645.393714,9635528.050286,185326081305785.937500,-132.569409,17583.545745
30,2.315385,0.248653,1.630387,2486.529571,8647226.074000,156185599109291.062500,-132.064349,17449.732676
31,2.319231,0.220305,1.535303,2203.052857,6980710.386286,108926660299255.687500,-130.761743,17106.891531
32,2.323077,0.222071,1.579182,2220.715000,7072738.001428,110995944271751.375000,-130.883674,17139.058542
33,2.326923,0.206511,1.467689,2065.114143,6176422.694000,88444905401185.343750,-130.156826,16948.746188
34,2.330769,0.189090,1.649476,1890.896000,5272637.017714,67615100283489.843750,-128.955806,16638.560580
35,2.334615,0.180059,1.568677,1800.588000,4789380.460000,55888326217063.414062,-128.480366,16515.754335
36,2.338462,0.178183,1.431398,1781.829000,4705149.274000,54480547023440.734375,-128.459640,16509.706568
37,2.342308,0.164576,1.318406,1645.763857,4072044.151714,42529249356133.640625,-127.333420,16221.033159
38,2.346154,0.158019,1.379717,1580.189286,3795782.559143,37205574956318.648438,-127.302271,16213.462876
39,2.350000,0.154307,1.310950,1543.067000,3577210.900857,32702360710179.503906,-126.718837,16064.903408
