,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2,size
0,2.120000,0.852647,0.991235,85.264667,7456.879556,-162.987778,27010.516444,27010.516444
1,2.140000,0.840488,1.048391,84.048778,7281.559333,-161.017556,26406.774222,26406.774222
2,2.160000,0.828403,1.100071,82.840333,7107.407333,-158.859333,25749.536889,25749.536889
3,2.180000,0.816680,1.143167,81.668000,6930.785333,-156.696444,25097.054222,25097.054222
4,2.200000,0.800096,1.168953,80.009556,6708.780889,-154.220889,24349.856000,24349.856000
5,2.220000,0.783546,1.207946,78.354556,6483.978000,-151.585556,23573.504889,23573.504889
6,2.240000,0.766740,1.278957,76.674000,6262.460444,-149.148222,22886.921778,22886.921778
7,2.260000,0.749850,1.268642,74.985000,6037.694000,-146.544889,22123.376000,22123.376000
8,2.280000,0.734249,1.312822,73.424889,5839.138667,-144.206889,21478.084444,21478.084444
9,2.300000,0.713610,1.312237,71.361000,5580.521556,-141.571333,20736.616000,20736.616000
10,2.320000,0.698030,1.310693,69.803000,5387.312222,-139.365333,20128.163556,20128.163556
11,2.340000,0.680101,1.310261,68.010111,5166.646444,-136.920667,19464.715556,19464.715556
12,2.360000,0.659473,1.320325,65.947333,4918.778667,-134.047333,18704.056000,18704.056000
13,2.380000,0.635689,1.294205,63.568889,4639.026667,-131.064222,17910.920000,17910.920000
14,2.400000,0.617258,1.272336,61.725778,4431.436889,-128.767111,17313.834667,17313.834667
15,2.420000,0.599413,1.252934,59.941333,4223.054222,-126.304667,16686.637333,16686.637333
16,2.440000,0.580597,1.199768,58.059667,4004.263778,-123.700000,16015.984000,16015.984000
17,2.460000,0.561010,1.181036,56.101000,3801.177111,-121.410444,15455.211556,15455.211556
18,2.480000,0.541404,1.153782,54.140444,3590.058222,-118.982889,14866.550222,14866.550222
19,2.500000,0.523202,1.110721,52.320222,3386.013333,-116.602222,14290.279111,14290.279111
20,2.520000,0.508241,1.071485,50.824111,3228.163778,-114.573333,13807.484444,13807.484444
21,2.540000,0.496812,1.061265,49.681222,3119.222889,-113.157333,13489.267556,13489.267556
22,2.560000,0.474118,0.988995,47.411778,2892.950222,-110.578222,12875.690667,12875.690667
23,2.580000,0.460978,0.963785,46.097778,2752.154222,-108.592000,12433.756444,12433.756444
24,2.600000,0.446684,0.917610,44.668444,2611.643556,-106.624889,11989.171556,11989.171556
