,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2,size
0,2.120000,0.890590,0.696617,14.249444,211.729556,-26.869333,772.055111,772.055111
1,2.140000,0.882146,0.738854,14.114333,208.735333,-26.528444,757.896889,757.896889
2,2.160000,0.878326,0.728829,14.053222,207.063333,-26.337778,748.085333,748.085333
3,2.180000,0.872208,0.741400,13.955333,204.884000,-26.112667,738.246222,738.246222
4,2.200000,0.870611,0.731169,13.929778,204.382222,-26.063556,735.930667,735.930667
5,2.220000,0.864194,0.738408,13.827111,201.710667,-25.745333,721.048889,721.048889
6,2.240000,0.856639,0.757656,13.706222,198.915556,-25.430444,707.533333,707.533333
7,2.260000,0.852597,0.770355,13.641556,197.704000,-25.303333,703.213333,703.213333
8,2.280000,0.844035,0.780020,13.504556,194.886444,-25.009111,690.333333,690.333333
9,2.300000,0.836125,0.801617,13.378000,192.151111,-24.715556,678.707556,678.707556
10,2.320000,0.829979,0.796983,13.279667,189.647778,-24.434889,665.698667,665.698667
11,2.340000,0.820333,0.810698,13.125333,186.282667,-24.051111,649.480889,649.480889
12,2.360000,0.822000,0.793361,13.152000,187.141333,-24.169556,654.866667,654.866667
13,2.380000,0.807194,0.823286,12.915111,181.871556,-23.562444,629.803556,629.803556
14,2.400000,0.805458,0.798827,12.887333,181.212000,-23.511333,626.402667,626.402667
15,2.420000,0.796819,0.824436,12.749111,178.476444,-23.191778,615.110222,615.110222
16,2.440000,0.794208,0.810907,12.707333,177.416000,-23.080444,609.952000,609.952000
17,2.460000,0.784444,0.823286,12.551111,174.063556,-22.698222,594.924444,594.924444
18,2.480000,0.772535,0.820692,12.360556,170.250444,-22.297333,577.932444,577.932444
19,2.500000,0.762743,0.818948,12.203889,166.721556,-21.913778,562.108444,562.108444
20,2.520000,0.762868,0.807126,12.205889,166.684222,-21.881778,560.821333,560.821333
21,2.540000,0.748715,0.814245,11.979444,162.233556,-21.435333,543.524444,543.524444
22,2.560000,0.748160,0.793427,11.970556,161.805556,-21.370667,539.902222,539.902222
23,2.580000,0.740944,0.807428,11.855111,159.684000,-21.102667,531.315556,531.315556
24,2.600000,0.734417,0.792219,11.750667,157.402667,-20.895333,522.301333,522.301333
