,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2,sigma**4
0,2.206000,0.777254,1.660702,1790.794000,3237129.672000,-73.907375,5470.381781,5470.381781,5392870110.417984
1,2.212000,0.764323,1.548545,1761.001000,3135994.874000,-73.297500,5380.100451,5380.100451,5083996912.373561
2,2.218000,0.757832,1.603453,1746.045000,3086613.046000,-72.893500,5321.350569,5321.350569,4937365386.716429
3,2.224000,0.745092,1.566751,1716.693000,2996544.802000,-72.454000,5257.331542,5257.331542,4695127553.872726
4,2.230000,0.737374,1.749626,1698.909000,2944464.962000,-72.136875,5212.429448,5212.429448,4574830235.379125
5,2.236000,0.724408,1.720432,1669.035000,2847900.138000,-71.602750,5135.555444,5135.555444,4293535007.773283
6,2.242000,0.699610,1.712962,1611.902000,2683375.240000,-70.902958,5035.839816,5035.839816,3894087821.449710
7,2.248000,0.699973,1.689616,1612.737000,2669717.514000,-70.661208,5001.544844,5001.544844,3828721903.572564
8,2.254000,0.667922,1.987088,1538.893000,2475575.334000,-69.798083,4881.867868,4881.867868,3399784524.807176
9,2.260000,0.657817,2.003159,1515.610000,2418306.148000,-69.654292,4861.951684,4861.951684,3295667777.406768
10,2.266000,0.644898,2.024294,1485.844000,2334076.916000,-69.140000,4790.733854,4790.733854,3094009878.015493
11,2.272000,0.606265,1.913364,1396.835000,2105219.742000,-68.087250,4645.750368,4645.750368,2617084946.526444
12,2.278000,0.588876,2.086570,1356.770000,1998392.608000,-67.427042,4557.233753,4557.233753,2398432042.886432
13,2.284000,0.547735,2.180017,1261.981000,1799801.386000,-66.640750,4452.361958,4452.361958,2085191392.181784
14,2.290000,0.536383,2.064098,1235.826000,1724894.968000,-66.329667,4410.449014,4410.449014,1937276246.899809
15,2.296000,0.509592,1.914237,1174.100000,1575648.872000,-65.628083,4317.136444,4317.136444,1656808628.367234
16,2.302000,0.468809,2.106837,1080.136000,1405354.324000,-65.033125,4240.471906,4240.471906,1440754681.473994
17,2.308000,0.464551,2.159191,1070.325000,1382564.230000,-64.802500,4210.865722,4210.865722,1406508576.015982
18,2.314000,0.433067,1.780359,997.787000,1229276.694000,-64.089958,4117.055865,4117.055865,1171519172.712974
19,2.320000,0.398479,1.596095,918.095000,1077997.250000,-63.443292,4033.642080,4033.642080,947221678.749749
20,2.326000,0.387499,1.587790,892.798000,991314.388000,-62.745042,3945.530635,3945.530635,787988563.371031
21,2.332000,0.349372,1.766315,804.952000,855297.132000,-62.116292,3868.039309,3868.039309,664505048.375926
22,2.338000,0.342571,1.670816,789.283000,848370.950000,-62.310542,3891.736691,3891.736691,675648050.873595
23,2.344000,0.339124,1.409233,781.342000,801993.048000,-61.854750,3833.752896,3833.752896,571812883.795294
24,2.350000,0.309731,1.471993,713.621000,690499.774000,-61.007292,3730.018719,3730.018719,461979289.363243
