,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2,size
0,2.120000,0.857037,1.021191,8570.372222,73477187.993333,-16419.911111,269659377.297778,269659377.297778
1,2.140000,0.842923,1.102384,8429.226667,71085570.475555,-16208.135556,262754142.977777,262754142.977777
2,2.160000,0.827744,1.207915,8277.442222,68560946.017778,-15980.360000,255428262.222222,255428262.222222
3,2.180000,0.807882,1.258067,8078.822222,65340793.266667,-15736.540000,247698479.546666,247698479.546666
4,2.200000,0.784875,1.439646,7848.752222,61708078.526667,-15463.520000,239190129.671111,239190129.671111
5,2.220000,0.754403,1.689365,7544.026667,57119654.964444,-15180.575556,230533132.844444,230533132.844444
6,2.240000,0.700251,1.798863,7002.510000,49530939.686667,-14783.042222,218628597.075556,218628597.075556
7,2.260000,0.617041,2.587777,6170.411111,39962038.288889,-14406.651111,207683769.555555,207683769.555555
8,2.280000,0.509339,2.681429,5093.385556,28906829.420000,-13999.902222,196136653.617777,196136653.617777
9,2.300000,0.323713,2.067526,3237.130000,13639123.531111,-13466.704444,181461500.702222,181461500.702222
10,2.320000,0.239110,1.586345,2391.100000,7945444.435556,-13124.991111,172350775.111111,172350775.111111
11,2.340000,0.167558,1.249282,1675.577778,4123222.715556,-12774.126667,163246717.786667,163246717.786667
12,2.360000,0.136538,1.278535,1365.377778,2905032.951111,-12516.711111,156739266.346667,156739266.346667
13,2.380000,0.115766,1.959019,1157.662222,2049100.826667,-12261.617778,150458237.226667,150458237.226667
14,2.400000,0.087140,3.290338,871.402222,1179046.368889,-11922.442222,142334152.026667,142334152.026667
15,2.420000,0.085059,3.917131,850.590000,1099660.820000,-11661.717778,136225064.400000,136225064.400000
16,2.440000,0.086441,4.616268,864.408889,1185429.417778,-11358.148889,129282380.311111,129282380.311111
17,2.460000,0.068315,3.576032,683.145556,736974.615556,-11060.751111,122556622.293334,122556622.293334
18,2.480000,0.065030,3.135291,650.295556,663778.475556,-10933.764444,119740037.866667,119740037.866667
19,2.500000,0.049812,10.487786,498.116667,388296.237778,-10568.246667,112343324.204445,112343324.204445
20,2.520000,0.047142,7.704173,471.417778,343128.026667,-10232.115556,105185434.560000,105185434.560000
21,2.540000,0.051699,8.003449,516.991111,414581.248889,-10251.842222,105616619.475556,105616619.475556
22,2.560000,0.042840,9.191937,428.396667,291016.584444,-9713.066667,94946066.844444,94946066.844444
23,2.580000,0.039539,11.191269,395.391111,262456.471111,-9497.020000,90938324.524445,90938324.524445
24,2.600000,0.052169,7.839778,521.687778,446562.220000,-9640.515556,93469509.173333,93469509.173333
