idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2,c_error
0,0.200000,1.000000,0.000000,10000.000000,100000000.000014,10000000000000808.000000,-20000.000000,400000000.000058,2405626.121623
1,0.400000,1.000000,0.000003,9999.999867,99999997.333614,9999999466827454.000000,-19999.999467,399999978.670991,601406.498323
2,0.600000,0.999997,0.000251,9999.971333,99999426.724548,9999885368049412.000000,-19999.885600,399995424.918456,267288.732754
3,0.800000,0.999907,0.004611,9999.072533,99981453.420811,9996291785413284.000000,-19996.318133,399852768.402140,150296.266891
4,1.000000,0.999274,0.023548,9992.744000,99854948.435737,9971017030905698.000000,-19971.542400,398862741.314152,95951.338171
5,1.200000,0.997009,0.067467,9970.089467,99402754.874942,9880935860216302.000000,-19885.259200,395424504.974953,66058.220143
6,1.400000,0.991375,0.144167,9913.745733,98282591.988534,9659561228894486.000000,-19680.498933,387324863.934923,47537.950791
7,1.600000,0.979647,0.262180,9796.466400,95971441.784533,9210781531211754.000000,-19283.179733,371847732.445874,34941.056279
8,1.800000,0.956796,0.435392,9567.960133,91547878.172533,8381751766625290.000000,-18591.033600,345640637.026129,25660.719856
9,2.000000,0.911323,0.725429,9113.227867,83058452.541601,6901200792474317.000000,-17455.684800,304729948.998400,18322.805334
10,2.200000,0.784731,1.374647,7847.314000,61675422.180533,3826411144919706.500000,-15462.305867,239149435.646931,11879.085291
11,2.400000,0.100579,1.086176,1005.788267,1520751.401600,6249480047006.083008,-12049.422667,145251150.315731,6060.513812
12,2.600000,0.045850,0.666677,458.496133,332637.754400,330592535457.844177,-10280.806933,105740058.540799,3759.344008
13,2.800000,0.034447,0.521395,344.465067,183940.184000,97628364401.248398,-9087.830933,82629548.480001,2532.638689
14,3.000000,0.027119,0.394615,271.186267,116658.492533,41493393417.176506,-8171.266933,66805118.629332,1783.553644
15,3.200000,0.023274,0.320733,232.739867,85062.687733,21780443766.847336,-7448.405600,55511589.031466,1302.402114
16,3.400000,0.020533,0.269060,205.331200,66697.274133,13554449141.659407,-6863.967733,47145156.368000,979.660562
17,3.600000,0.018965,0.229120,189.652667,56456.721867,9570403323.488932,-6364.909867,40541771.513599,751.319098
18,3.800000,0.017811,0.195305,178.111067,50138.683467,7740694955.591463,-5938.617600,35295381.034666,586.967077
