,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2,size
0,2.120000,0.857198,1.014645,8571.980111,73504089.981556,-16424.361556,269805254.701331,269805254.701331
1,2.140000,0.843444,1.107227,8434.436667,71173533.681778,-16210.161333,262820037.013335,262820037.013335
2,2.160000,0.827745,1.188286,8277.453222,68562660.788667,-15982.780444,255504711.416892,255504711.416892
3,2.180000,0.808529,1.315265,8085.294000,65439200.006222,-15733.848889,247616507.514671,247616507.514671
4,2.200000,0.784942,1.390069,7849.416000,61720612.414222,-15469.086889,239359928.525338,239359928.525338
5,2.220000,0.754174,1.595772,7541.735556,57087119.797333,-15172.201556,230274346.079111,230274346.079111
6,2.240000,0.708019,1.874999,7080.186000,50616686.490667,-14828.383333,219975032.207112,219975032.207112
7,2.260000,0.624413,2.222788,6244.131556,40537522.312444,-14421.887778,208104378.201781,208104378.201781
8,2.280000,0.491930,2.299725,4919.299000,27258981.616667,-13958.458000,194958098.660443,194958098.660443
9,2.300000,0.334302,1.988567,3343.021000,14419729.087778,-13505.739778,182510202.128883,182510202.128883
10,2.320000,0.225866,1.833830,2258.656222,7346056.178667,-13100.959556,171733845.329777,171733845.329777
11,2.340000,0.173134,1.550408,1731.337333,4476853.868000,-12799.944667,163923477.629334,163923477.629334
12,2.360000,0.137065,1.354452,1370.650333,2857805.942889,-12557.581111,157768280.943113,157768280.943113
13,2.380000,0.113589,1.176135,1135.885222,1992596.781556,-12233.342444,149721288.351112,149721288.351112
14,2.400000,0.095794,1.045557,957.942778,1445053.950889,-11992.132889,143871475.292443,143871475.292443
15,2.420000,0.091959,1.055630,919.587556,1313439.358222,-11874.268000,141060062.433776,141060062.433776
16,2.440000,0.078654,1.098995,786.536333,962196.932667,-11577.659333,134107625.414221,134107625.414221
17,2.460000,0.073538,0.886865,735.377111,851295.523111,-11476.122000,131755045.695113,131755045.695113
18,2.480000,0.067816,0.952330,678.156889,713696.579111,-11198.628222,125467846.153781,125467846.153781
19,2.500000,0.064073,0.863843,640.726000,647513.792444,-11102.971111,123329957.656890,123329957.656890
20,2.520000,0.060406,0.815305,604.060333,572900.652222,-10956.834000,120103986.436444,120103986.436444
21,2.540000,0.056820,0.863636,568.197222,506363.628667,-10744.385778,115497544.099555,115497544.099555
22,2.560000,0.054415,0.838015,544.145778,455186.868000,-10564.906444,111672168.306666,111672168.306666
23,2.580000,0.048591,0.990126,485.912889,368648.016444,-10453.154667,109334349.207111,109334349.207111
24,2.600000,0.047368,0.782203,473.679333,350295.096889,-10253.442444,105185958.916446,105185958.916446
