,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2,sigma**4
0,2.206000,0.780910,1.523176,449.804000,207472.848000,-36.930833,1371.298889,1371.298889,22934010.057552
1,2.212000,0.753502,1.634493,434.017000,195744.542000,-36.305917,1326.117069,1326.117069,20906308.105900
2,2.218000,0.757653,1.501430,436.408000,197182.024000,-36.455583,1336.395875,1336.395875,21140076.954272
3,2.224000,0.754196,1.412029,434.417000,195138.566000,-36.211000,1318.220667,1318.220667,20648524.788460
4,2.230000,0.734642,1.547337,423.154000,186903.252000,-35.904917,1296.857792,1296.857792,19312460.087928
5,2.236000,0.754434,1.563239,434.554000,195555.236000,-36.228167,1320.295778,1320.295778,20761566.923704
6,2.242000,0.722337,1.768742,416.066000,181437.056000,-35.441333,1264.978806,1264.978806,18356799.026800
7,2.248000,0.710613,1.700138,409.313000,176477.546000,-35.312000,1255.529000,1255.529000,17600112.650116
8,2.254000,0.705241,1.589021,406.219000,175158.610000,-35.323083,1255.793264,1255.793264,17499918.122516
9,2.260000,0.691177,1.596780,398.118000,168453.724000,-34.852250,1222.835042,1222.835042,16288151.821496
10,2.266000,0.685451,1.635726,394.820000,166771.752000,-34.740750,1215.318764,1215.318764,16133113.012656
11,2.272000,0.670167,1.593339,386.016000,159882.740000,-34.404167,1191.871472,1191.871472,14939984.949160
12,2.278000,0.669033,1.696384,385.363000,159181.830000,-34.350750,1188.777042,1188.777042,14885282.821692
13,2.284000,0.643304,1.661497,370.543000,151094.382000,-33.985500,1163.681667,1163.681667,13898707.521468
14,2.290000,0.620300,1.727792,357.293000,141119.494000,-33.487250,1130.456625,1130.456625,12398828.220764
15,2.296000,0.630349,1.664959,363.081000,144485.814000,-33.543833,1133.965778,1133.965778,12785091.103020
16,2.302000,0.611111,1.628099,352.000000,137437.044000,-33.216917,1111.991181,1111.991181,11837994.502584
17,2.308000,0.593821,1.871001,342.041000,131920.778000,-32.794917,1085.473125,1085.473125,11182285.014820
18,2.314000,0.579806,1.670609,333.968000,126773.456000,-32.631750,1073.776542,1073.776542,10536674.266336
19,2.320000,0.583484,1.695885,336.087000,128525.802000,-32.767000,1082.804222,1082.804222,10822544.635428
20,2.326000,0.565009,1.756625,325.445000,122321.698000,-32.366583,1057.099542,1057.099542,10064607.959732
21,2.332000,0.533269,1.613675,307.163000,109675.686000,-31.708167,1014.183361,1014.183361,8338772.899740
22,2.338000,0.525354,1.564739,302.604000,107605.184000,-31.652500,1010.434000,1010.434000,8090808.776800
23,2.344000,0.509845,1.612566,293.671000,103297.802000,-31.282833,987.475639,987.475639,7689206.900404
24,2.350000,0.503783,1.445784,290.179000,100110.994000,-31.223333,982.880889,982.880889,7263589.969364
