idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2,m_error
0,2.200000,0.785222,1.356525,7852.219800,61745191.515600,3833470222997583.500000,-15463.186000,239175777.070398
1,2.208333,0.770403,1.469499,7704.031600,59507560.300000,3575480376438547.000000,-15342.839200,235474378.303998
2,2.216667,0.764695,1.420439,7646.952000,58578022.517600,3454693213457653.000000,-15227.958000,231960499.687998
3,2.225000,0.739963,1.741429,7399.630200,55013214.446000,3078311650083886.000000,-15067.337600,227110873.955198
4,2.233333,0.740068,1.595982,7400.676600,54931025.928400,3051043602351824.500000,-14981.060000,224511762.771197
5,2.241667,0.714000,1.701103,7139.998400,51312025.028000,2691298815427618.500000,-14822.289200,219785738.750398
6,2.250000,0.636633,2.295824,6366.332000,41988705.004000,1941020336994256.500000,-14566.784000,212307422.207998
7,2.258333,0.663277,2.021383,6632.768800,44585929.443200,2075407470188459.000000,-14505.523600,210513306.862400
8,2.266667,0.457726,2.735681,4577.259200,25546331.019200,966848283908691.375000,-14115.689600,199393246.076802
9,2.275000,0.554119,2.354929,5541.188600,32627568.865200,1245344276908445.250000,-14105.874000,199097563.595200
10,2.283333,0.380553,2.432604,3805.529800,17791346.037200,503682403276876.562500,-13747.259200,189113962.019201
11,2.291667,0.337713,2.363270,3377.133200,15161013.199200,414198456726996.312500,-13596.504800,184989055.497601
12,2.300000,0.399555,2.177700,3995.553800,18629289.394800,492430731465204.437500,-13546.884400,183633277.300802
13,2.308333,0.299010,2.033664,2990.103400,11665519.613200,254477746749356.406250,-13342.836400,178139645.025600
14,2.316667,0.245653,1.857921,2456.528000,8152707.032800,140895501951124.375000,-13157.417200,173217340.971199
15,2.325000,0.213017,1.679752,2130.171200,6744459.841600,109178347957796.828125,-13040.353200,170141612.657599
16,2.333333,0.203954,1.642223,2039.540600,5960863.650800,84713623929838.406250,-12901.672800,166542570.943999
17,2.341667,0.160735,1.584602,1607.352400,4159951.902400,55311435276444.148438,-12781.456800,163452528.067201
18,2.350000,0.147581,1.456144,1475.807400,3392393.207600,33410748697270.148438,-12654.735600,160222748.660800
19,2.358333,0.143115,1.457381,1431.151600,3252021.576000,32986076136918.812500,-12551.259600,157615173.211200
20,2.366667,0.132677,1.420014,1326.772600,2764442.600400,27179384264679.671875,-12437.620400,154773937.774400
21,2.375000,0.113122,1.345386,1131.218600,2038639.850000,15750476423638.298828,-12333.794400,152198372.486400
22,2.383333,0.117981,1.324532,1179.811400,2244409.018000,19019875025144.140625,-12238.278400,149850695.270401
23,2.391667,0.109519,1.269675,1095.191600,1858867.856000,12726676826038.886719,-12144.630000,147564664.145600
24,2.400000,0.106600,1.219568,1066.000600,1814516.085200,12930408232116.246094,-12046.028000,145177037.696000
