idx,temperture,(staggered)magnetization,specific heat,abs(mm),mm**2,mm**4,HH/L,HH**2/L,cerror,berror
0,2.060000,0.919063,0.543498,0.919063,0.845182,0.716006,-53.453996,2859.636070,0.000357,0.000001
1,2.062000,0.918338,0.546328,0.918338,0.843862,0.713813,-53.406147,2854.539465,0.000422,0.000001
2,2.064000,0.917939,0.542648,0.917939,0.843131,0.712582,-53.376730,2851.387090,0.000400,0.000001
3,2.066000,0.917605,0.547634,0.917605,0.842527,0.711592,-53.355058,2849.099716,0.000416,0.000001
4,2.068000,0.916850,0.552700,0.916850,0.841146,0.709278,-53.294985,2842.719115,0.000422,0.000001
5,2.070000,0.916466,0.560973,0.916466,0.840452,0.708145,-53.264478,2839.508354,0.000453,0.000001
6,2.072000,0.915558,0.560855,0.915558,0.838795,0.705375,-53.204752,2833.153503,0.000418,0.000001
7,2.074000,0.915216,0.562282,0.915216,0.838183,0.704392,-53.177367,2830.251002,0.000403,0.000002
8,2.076000,0.914466,0.558669,0.914466,0.836811,0.702093,-53.129614,2825.163576,0.000391,0.000001
9,2.078000,0.914369,0.562745,0.914369,0.836626,0.701760,-53.111444,2823.255454,0.000431,0.000001
10,2.080000,0.913729,0.570253,0.913729,0.835476,0.699901,-53.070645,2818.960529,0.000414,0.000001
11,2.082000,0.912929,0.570597,0.912929,0.834021,0.697482,-53.013212,2812.874067,0.000460,0.000001
12,2.084000,0.912544,0.573164,0.912544,0.833322,0.696334,-52.981950,2809.576272,0.000389,0.000001
13,2.086000,0.911805,0.575010,0.911805,0.831988,0.694149,-52.936077,2804.730326,0.000424,0.000001
14,2.088000,0.911286,0.575873,0.911286,0.831049,0.692610,-52.894748,2800.364973,0.000428,0.000002
15,2.090000,0.910888,0.581864,0.910888,0.830328,0.691425,-52.863085,2797.047411,0.000460,0.000002
16,2.092000,0.910344,0.577825,0.910344,0.829341,0.689797,-52.829167,2793.449765,0.000373,0.000001
17,2.094000,0.909467,0.580262,0.909467,0.827749,0.687168,-52.762278,2786.402375,0.000410,0.000001
18,2.096000,0.908791,0.594307,0.908791,0.826545,0.685247,-52.716632,2781.654167,0.000421,0.000002
19,2.098000,0.908378,0.594834,0.908378,0.825795,0.684016,-52.689126,2778.762223,0.000451,0.000001
20,2.100000,0.907870,0.581971,0.907870,0.824867,0.682461,-52.653129,2774.918534,0.000396,0.000001
21,2.102000,0.907103,0.593822,0.907103,0.823501,0.680286,-52.608202,2770.246615,0.000470,0.000002
22,2.104000,0.906711,0.590231,0.906711,0.822783,0.679080,-52.570281,2766.247340,0.000397,0.000002
23,2.106000,0.905921,0.601303,0.905921,0.821369,0.676810,-52.519144,2760.927453,0.000469,0.000002
24,2.108000,0.905045,0.602427,0.905045,0.819797,0.674267,-52.459745,2754.701842,0.000457,0.000002
25,2.110000,0.904679,0.608261,0.904679,0.819148,0.673244,-52.438683,2752.523562,0.000455,0.000002
26,2.112000,0.904026,0.613456,0.904026,0.817982,0.671376,-52.393849,2747.851780,0.000435,0.000002
27,2.114000,0.903397,0.603487,0.903397,0.816834,0.669468,-52.345105,2742.706973,0.000440,0.000002
28,2.116000,0.902619,0.614576,0.902619,0.815451,0.667272,-52.293362,2737.347484,0.000455,0.000002
29,2.118000,0.902030,0.610850,0.902030,0.814391,0.665550,-52.259112,2733.755036,0.000425,0.000002
30,2.120000,0.901537,0.617806,0.901537,0.813508,0.664135,-52.217473,2729.441148,0.000453,0.000002
