idx,temperture,(staggered)magnetization,specific heat,abs(mm),mm**2,mm**4,HH/L,HH**2/L,cerror,berror
0,1.760000,0.987652,0.098177,0.987652,0.975487,0.951691,-54.917112,3016.193336,0.000088,0.000000
1,1.762000,0.987502,0.099548,0.987502,0.975190,0.951114,-54.900199,3014.340938,0.000076,0.000000
2,1.764000,0.987421,0.098305,0.987421,0.975030,0.950802,-54.892659,3013.509872,0.000064,0.000000
3,1.766000,0.987401,0.099251,0.987401,0.974991,0.950726,-54.891267,3013.360723,0.000084,0.000000
4,1.768000,0.987289,0.100678,0.987289,0.974771,0.950300,-54.879595,3012.084639,0.000079,0.000000
5,1.770000,0.987219,0.100848,0.987219,0.974634,0.950033,-54.873338,3011.399116,0.000082,0.000000
6,1.772000,0.987121,0.101188,0.987121,0.974440,0.949656,-54.862317,3010.191603,0.000075,0.000000
7,1.774000,0.987020,0.102346,0.987020,0.974241,0.949269,-54.852798,3009.151559,0.000078,0.000000
8,1.776000,0.986969,0.099686,0.986969,0.974140,0.949070,-54.846917,3008.498733,0.000080,0.000000
9,1.778000,0.986877,0.101951,0.986877,0.973959,0.948720,-54.836775,3007.394199,0.000079,0.000000
10,1.780000,0.986808,0.101904,0.986808,0.973823,0.948456,-54.830101,3006.662836,0.000086,0.000000
11,1.782000,0.986688,0.103774,0.986688,0.973585,0.947996,-54.819145,3005.468191,0.000076,0.000000
12,1.784000,0.986577,0.103316,0.986577,0.973367,0.947570,-54.807536,3004.194784,0.000075,0.000000
13,1.786000,0.986487,0.103801,0.986487,0.973190,0.947226,-54.797661,3003.114788,0.000077,0.000000
14,1.788000,0.986421,0.104499,0.986421,0.973060,0.946976,-54.791859,3002.481856,0.000078,0.000000
15,1.790000,0.986315,0.103912,0.986315,0.972852,0.946570,-54.781550,3001.351157,0.000083,0.000000
16,1.792000,0.986260,0.104841,0.986260,0.972743,0.946359,-54.775411,3000.682316,0.000077,0.000000
17,1.794000,0.986135,0.106116,0.986135,0.972496,0.945880,-54.762734,2999.298527,0.000069,0.000000
18,1.796000,0.985988,0.106686,0.985988,0.972206,0.945318,-54.747355,2997.617024,0.000078,0.000000
19,1.798000,0.985939,0.107202,0.985939,0.972110,0.945133,-54.743537,2997.201351,0.000082,0.000000
20,1.800000,0.985858,0.107564,0.985858,0.971951,0.944824,-54.734729,2996.239076,0.000080,0.000000
21,1.802000,0.985688,0.108996,0.985688,0.971616,0.944176,-54.719094,2994.533137,0.000083,0.000000
22,1.804000,0.985669,0.108937,0.985669,0.971580,0.944106,-54.716845,2994.287614,0.000078,0.000000
23,1.806000,0.985598,0.108096,0.985598,0.971438,0.943830,-54.709263,2993.456039,0.000083,0.000000
24,1.808000,0.985469,0.109829,0.985469,0.971184,0.943339,-54.695997,2992.011053,0.000089,0.000000
25,1.810000,0.985390,0.110294,0.985390,0.971031,0.943043,-54.688791,2991.225169,0.000090,0.000000
26,1.812000,0.985305,0.110622,0.985305,0.970863,0.942717,-54.678539,2990.105813,0.000096,0.000000
27,1.814000,0.985217,0.110450,0.985217,0.970688,0.942378,-54.670120,2989.185465,0.000091,0.000000
28,1.816000,0.985121,0.110332,0.985121,0.970500,0.942013,-54.661323,2988.224121,0.000091,0.000000
29,1.818000,0.984979,0.113090,0.984979,0.970222,0.941477,-54.645922,2986.550612,0.000090,0.000000
30,1.820000,0.984862,0.112858,0.984862,0.969992,0.941032,-54.636038,2985.470494,0.000082,0.000000
