idx,temperture,(staggered)magnetization,specific heat,abs(mm),mm**2,mm**4,HH/L,HH**2/L,cerror,berror
0,1.880000,0.973979,0.191381,0.973979,0.948654,0.900015,-111.190031,12363.899520,0.000095,0.000000
1,1.882000,0.973878,0.194544,0.973878,0.948457,0.899643,-111.171119,12359.706811,0.000086,0.000000
2,1.884000,0.973699,0.197956,0.973699,0.948109,0.898984,-111.134396,12351.556541,0.000103,0.000000
3,1.886000,0.973533,0.197430,0.973533,0.947786,0.898372,-111.102064,12344.370905,0.000095,0.000000
4,1.888000,0.973363,0.197750,0.973363,0.947454,0.897744,-111.070911,12337.452107,0.000091,0.000000
5,1.890000,0.973194,0.200219,0.973194,0.947126,0.897124,-111.037492,12330.039826,0.000097,0.000000
6,1.892000,0.973068,0.197933,0.973068,0.946882,0.896660,-111.013245,12324.649029,0.000106,0.000000
7,1.894000,0.972884,0.199414,0.972884,0.946524,0.895983,-110.977528,12316.727099,0.000097,0.000000
8,1.896000,0.972700,0.201208,0.972700,0.946166,0.895307,-110.941997,12308.850026,0.000089,0.000000
9,1.898000,0.972609,0.199329,0.972609,0.945988,0.894970,-110.924718,12305.011200,0.000088,0.000000
10,1.900000,0.972373,0.201556,0.972373,0.945530,0.894104,-110.879423,12294.973962,0.000096,0.000000
11,1.902000,0.972179,0.202419,0.972179,0.945153,0.893392,-110.840447,12286.337030,0.000098,0.000000
12,1.904000,0.972024,0.202715,0.972024,0.944851,0.892822,-110.812310,12280.102835,0.000095,0.000000
13,1.906000,0.971880,0.203576,0.971880,0.944572,0.892295,-110.783036,12273.620540,0.000096,0.000000
14,1.908000,0.971705,0.205089,0.971705,0.944231,0.891653,-110.752576,12266.879609,0.000099,0.000000
15,1.910000,0.971555,0.206449,0.971555,0.943941,0.891106,-110.722921,12260.318412,0.000105,0.000000
16,1.912000,0.971341,0.207007,0.971341,0.943524,0.890319,-110.682153,12251.295803,0.000088,0.000000
17,1.914000,0.971219,0.206473,0.971219,0.943287,0.889871,-110.655969,12245.499967,0.000093,0.000000
18,1.916000,0.971001,0.209534,0.971001,0.942865,0.889077,-110.616164,12236.704931,0.000104,0.000000
19,1.918000,0.970834,0.211730,0.970834,0.942540,0.888466,-110.584078,12229.617185,0.000089,0.000000
20,1.920000,0.970657,0.210020,0.970657,0.942197,0.887819,-110.553039,12222.748549,0.000099,0.000000
21,1.922000,0.970487,0.207781,0.970487,0.941867,0.887197,-110.517656,12214.919866,0.000092,0.000000
22,1.924000,0.970298,0.212470,0.970298,0.941501,0.886508,-110.480874,12206.809996,0.000100,0.000000
23,1.926000,0.970112,0.212055,0.970112,0.941140,0.885829,-110.445493,12198.993618,0.000116,0.000000
24,1.928000,0.969972,0.214754,0.969972,0.940868,0.885319,-110.420122,12193.401641,0.000112,0.000000
25,1.930000,0.969784,0.212052,0.969784,0.940505,0.884635,-110.384358,12185.496361,0.000096,0.000000
26,1.932000,0.969558,0.215055,0.969558,0.940065,0.883810,-110.339970,12175.711768,0.000106,0.000000
27,1.934000,0.969412,0.213229,0.969412,0.939783,0.883278,-110.313080,12169.773218,0.000097,0.000000
28,1.936000,0.969220,0.216116,0.969220,0.939410,0.882580,-110.275834,12161.569571,0.000098,0.000000
29,1.938000,0.969041,0.217104,0.969041,0.939063,0.881928,-110.241768,12154.062893,0.000112,0.000000
30,1.940000,0.968920,0.215628,0.968920,0.938829,0.881488,-110.216935,12148.584349,0.000087,0.000000
