idx,temperture,(staggered)magnetization,specific heat,abs(mm),mm**2,mm**4,HH/L,HH**2/L,cerror,berror
0,1.760000,0.989630,0.083369,0.989630,0.979378,0.959225,-82.849564,6864.308574,0.000043,0.000000
1,1.762000,0.989577,0.083335,0.989577,0.979273,0.959018,-82.841370,6862.951334,0.000042,0.000000
2,1.764000,0.989525,0.084264,0.989525,0.979170,0.958817,-82.832978,6861.564506,0.000042,0.000000
3,1.766000,0.989424,0.083861,0.989424,0.978970,0.958425,-82.817782,6859.046570,0.000037,0.000000
4,1.768000,0.989352,0.083953,0.989352,0.978828,0.958149,-82.806606,6857.196377,0.000046,0.000000
5,1.770000,0.989269,0.084315,0.989269,0.978664,0.957826,-82.793754,6855.069813,0.000044,0.000000
6,1.772000,0.989225,0.084072,0.989225,0.978577,0.957657,-82.787760,6854.077119,0.000041,0.000000
7,1.774000,0.989139,0.085736,0.989139,0.978407,0.957324,-82.773349,6851.697074,0.000041,0.000000
8,1.776000,0.989100,0.086005,0.989100,0.978331,0.957177,-82.767208,6850.681942,0.000040,0.000000
9,1.778000,0.989001,0.086332,0.989001,0.978135,0.956794,-82.752891,6848.313963,0.000043,0.000000
10,1.780000,0.988942,0.086619,0.988942,0.978017,0.956564,-82.743292,6846.726745,0.000041,0.000000
11,1.782000,0.988871,0.086956,0.988871,0.977878,0.956292,-82.731653,6844.802561,0.000048,0.000000
12,1.784000,0.988795,0.087098,0.988795,0.977728,0.955997,-82.720525,6842.962540,0.000045,0.000000
13,1.786000,0.988713,0.087091,0.988713,0.977564,0.955678,-82.707982,6840.888079,0.000046,0.000000
14,1.788000,0.988619,0.087612,0.988619,0.977380,0.955319,-82.693778,6838.540947,0.000044,0.000000
15,1.790000,0.988559,0.087924,0.988559,0.977262,0.955088,-82.684420,6836.995083,0.000043,0.000000
16,1.792000,0.988509,0.088333,0.988509,0.977162,0.954892,-82.676083,6835.618345,0.000044,0.000000
17,1.794000,0.988385,0.089165,0.988385,0.976917,0.954415,-82.657063,6832.476970,0.000046,0.000000
18,1.796000,0.988333,0.089705,0.988333,0.976815,0.954215,-82.649478,6831.225598,0.000049,0.000000
19,1.798000,0.988295,0.089232,0.988295,0.976740,0.954070,-82.643599,6830.252992,0.000040,0.000000
20,1.800000,0.988169,0.090107,0.988169,0.976490,0.953582,-82.623472,6826.930012,0.000046,0.000000
21,1.802000,0.988066,0.090605,0.988066,0.976287,0.953185,-82.607682,6824.323306,0.000044,0.000000
22,1.804000,0.988007,0.091514,0.988007,0.976170,0.952958,-82.599780,6823.021398,0.000047,0.000000
23,1.806000,0.987937,0.091374,0.987937,0.976032,0.952689,-82.588957,6821.233804,0.000048,0.000000
24,1.808000,0.987839,0.091851,0.987839,0.975839,0.952312,-82.573654,6818.708543,0.000047,0.000000
25,1.810000,0.987779,0.091680,0.987779,0.975721,0.952081,-82.564084,6817.128284,0.000047,0.000000
26,1.812000,0.987703,0.091698,0.987703,0.975570,0.951787,-82.552893,6815.281276,0.000047,0.000000
27,1.814000,0.987615,0.094030,0.987615,0.975397,0.951452,-82.538489,6812.911629,0.000044,0.000000
28,1.816000,0.987554,0.093587,0.987554,0.975276,0.951215,-82.528793,6811.310381,0.000045,0.000000
29,1.818000,0.987472,0.093762,0.987472,0.975114,0.950899,-82.517141,6809.388386,0.000051,0.000000
30,1.820000,0.987363,0.093679,0.987363,0.974899,0.950481,-82.499622,6806.498000,0.000048,0.000000
