idx,temperture,(staggered)magnetization,specific heat,abs(mm),mm**2,mm**4,HH/L,HH**2/L,cerror,berror
0,2.060000,0.916601,0.554857,0.916601,0.842333,0.716224,-26.640664,712.079570,0.000484,0.000007
1,2.062000,0.915997,0.556375,0.915997,0.841268,0.714543,-26.621574,711.073833,0.000453,0.000007
2,2.064000,0.915397,0.569783,0.915397,0.840257,0.713028,-26.598216,709.892427,0.000556,0.000009
3,2.066000,0.915162,0.561966,0.915162,0.839802,0.712175,-26.589427,709.396304,0.000451,0.000007
4,2.068000,0.914467,0.564201,0.914467,0.838612,0.710397,-26.567402,708.239735,0.000436,0.000007
5,2.070000,0.913671,0.577604,0.913671,0.837138,0.707943,-26.538288,706.755687,0.000441,0.000007
6,2.072000,0.913235,0.575981,0.913235,0.836470,0.706985,-26.524112,706.001330,0.000507,0.000008
7,2.074000,0.912441,0.581900,0.912441,0.835021,0.704626,-26.497468,704.618849,0.000460,0.000008
8,2.076000,0.911650,0.586047,0.911650,0.833636,0.702466,-26.470176,703.195972,0.000503,0.000008
9,2.078000,0.910929,0.586880,0.910929,0.832321,0.700314,-26.442655,701.748187,0.000446,0.000008
10,2.080000,0.910761,0.587303,0.910761,0.832037,0.699915,-26.444454,701.850041,0.000422,0.000007
11,2.082000,0.909991,0.587241,0.909991,0.830674,0.697685,-26.410693,700.070208,0.000554,0.000010
12,2.084000,0.908854,0.605428,0.908854,0.828736,0.694809,-26.375872,698.316044,0.000544,0.000010
13,2.086000,0.909507,0.590517,0.909507,0.829753,0.696149,-26.389286,698.963974,0.000438,0.000007
14,2.088000,0.908118,0.596018,0.908118,0.827356,0.692443,-26.343578,696.582581,0.000428,0.000009
15,2.090000,0.907814,0.596004,0.907814,0.826902,0.691816,-26.337947,696.290845,0.000514,0.000010
16,2.092000,0.907498,0.601842,0.907498,0.826303,0.690822,-26.321593,695.460223,0.000507,0.000010
17,2.094000,0.906026,0.610470,0.906026,0.823723,0.686846,-26.281865,693.413236,0.000513,0.000010
18,2.096000,0.905900,0.609619,0.905900,0.823497,0.686395,-26.261761,692.358297,0.000514,0.000009
19,2.098000,0.905870,0.608907,0.905870,0.823479,0.686394,-26.264330,692.495188,0.000504,0.000009
20,2.100000,0.905015,0.608989,0.905015,0.821895,0.683824,-26.232338,690.821213,0.000450,0.000009
21,2.102000,0.904219,0.620319,0.904219,0.820609,0.681986,-26.207065,689.551090,0.000556,0.000010
22,2.104000,0.903730,0.615491,0.903730,0.819669,0.680395,-26.194285,688.865240,0.000529,0.000010
23,2.106000,0.902880,0.632071,0.902880,0.818277,0.678401,-26.160055,687.151874,0.000528,0.000009
24,2.108000,0.901467,0.633040,0.901467,0.815761,0.674405,-26.120508,685.093938,0.000472,0.000010
25,2.110000,0.901724,0.621695,0.901724,0.816174,0.674935,-26.124494,685.257032,0.000490,0.000010
26,2.112000,0.901451,0.625133,0.901451,0.815657,0.674046,-26.105498,684.285453,0.000515,0.000010
27,2.114000,0.900328,0.634819,0.900328,0.813818,0.671455,-26.084621,683.244434,0.000518,0.000011
28,2.116000,0.898991,0.645467,0.898991,0.811443,0.667755,-26.037369,680.834657,0.000530,0.000010
29,2.118000,0.898903,0.624106,0.898903,0.811223,0.667213,-26.029979,680.359514,0.000549,0.000010
30,2.120000,0.897128,0.646513,0.897128,0.808345,0.663125,-25.978336,677.779634,0.000555,0.000012
