idx,temperture,(staggered)magnetization,specific heat,abs(mm),mm**2,mm**4,HH/L,HH**2/L,cerror,berror
0,1.880000,0.971625,0.211532,0.971625,0.944142,0.891730,-55.336119,3062.833655,0.000146,0.000000
1,1.882000,0.971571,0.209977,0.971571,0.944037,0.891528,-55.330390,3062.195827,0.000154,0.000000
2,1.884000,0.971264,0.215783,0.971264,0.943443,0.890419,-55.302794,3059.164936,0.000144,0.000000
3,1.886000,0.971141,0.214985,0.971141,0.943204,0.889966,-55.291358,3057.898970,0.000151,0.000000
4,1.888000,0.970909,0.216955,0.970909,0.942754,0.889125,-55.270419,3055.592601,0.000171,0.000000
5,1.890000,0.970779,0.213591,0.970779,0.942500,0.888640,-55.257134,3054.113815,0.000157,0.000000
6,1.892000,0.970568,0.216398,0.970568,0.942093,0.887878,-55.236777,3051.876172,0.000158,0.000000
7,1.894000,0.970520,0.216206,0.970520,0.942000,0.887703,-55.231031,3051.242395,0.000140,0.000000
8,1.896000,0.970269,0.216367,0.970269,0.941512,0.886787,-55.207118,3048.603667,0.000178,0.000000
9,1.898000,0.970030,0.219854,0.970030,0.941051,0.885926,-55.185557,3046.237695,0.000147,0.000000
10,1.900000,0.969865,0.218073,0.969865,0.940731,0.885320,-55.168453,3044.345403,0.000152,0.000000
11,1.902000,0.969810,0.218241,0.969810,0.940624,0.885120,-55.162325,3043.671578,0.000167,0.000000
12,1.904000,0.969543,0.222164,0.969543,0.940109,0.884160,-55.137672,3040.968224,0.000147,0.000000
13,1.906000,0.969295,0.222467,0.969295,0.939628,0.883257,-55.116599,3038.647656,0.000171,0.000000
14,1.908000,0.969185,0.224051,0.969185,0.939415,0.882861,-55.104509,3037.322590,0.000140,0.000000
15,1.910000,0.968959,0.226054,0.968959,0.938980,0.882049,-55.084002,3035.071964,0.000178,0.000000
16,1.912000,0.968834,0.226672,0.968834,0.938737,0.881596,-55.071900,3033.742850,0.000153,0.000000
17,1.914000,0.968589,0.224877,0.968589,0.938264,0.880706,-55.051728,3031.516551,0.000166,0.000000
18,1.916000,0.968325,0.230032,0.968325,0.937754,0.879756,-55.024231,3028.510439,0.000134,0.000000
19,1.918000,0.968216,0.226443,0.968216,0.937542,0.879354,-55.012094,3027.163521,0.000163,0.000000
20,1.920000,0.967973,0.229150,0.967973,0.937073,0.878481,-54.990349,3024.783173,0.000167,0.000000
21,1.922000,0.967940,0.226810,0.967940,0.937009,0.878361,-54.989597,3024.693668,0.000172,0.000000
22,1.924000,0.967756,0.231273,0.967756,0.936655,0.877706,-54.972178,3022.796456,0.000170,0.000000
23,1.926000,0.967380,0.230756,0.967380,0.935927,0.876342,-54.937074,3018.938138,0.000178,0.000000
24,1.928000,0.967313,0.228400,0.967313,0.935796,0.876097,-54.929269,3018.073619,0.000166,0.000000
25,1.930000,0.966966,0.234247,0.966966,0.935128,0.874855,-54.897080,3014.561928,0.000167,0.000000
26,1.932000,0.966809,0.234293,0.966809,0.934825,0.874289,-54.882380,3012.950205,0.000162,0.000000
27,1.934000,0.966611,0.235863,0.966611,0.934442,0.873578,-54.861869,3010.706884,0.000161,0.000000
28,1.936000,0.966530,0.233908,0.966530,0.934287,0.873289,-54.857526,3010.224900,0.000151,0.000000
29,1.938000,0.966318,0.236655,0.966318,0.933878,0.872527,-54.833066,3007.553996,0.000181,0.000000
30,1.940000,0.966099,0.234930,0.966099,0.933454,0.871736,-54.813581,3005.412853,0.000179,0.000000
