idx,temperture,(staggered)magnetization,specific heat,abs(mm),mm**2,mm**4,HH/L,HH**2/L,cerror,berror
0,1.880000,0.973223,0.200259,0.973223,0.947198,0.897318,-83.270878,6934.746933,0.000098,0.000000
1,1.882000,0.973101,0.200490,0.973101,0.946961,0.896870,-83.252355,6931.664746,0.000101,0.000000
2,1.884000,0.972936,0.201257,0.972936,0.946640,0.896262,-83.229847,6927.921836,0.000106,0.000000
3,1.886000,0.972747,0.201291,0.972747,0.946273,0.895568,-83.203088,6923.469929,0.000098,0.000000
4,1.888000,0.972562,0.203327,0.972562,0.945914,0.894891,-83.175874,6918.950732,0.000091,0.000000
5,1.890000,0.972473,0.203873,0.972473,0.945740,0.894561,-83.162414,6916.715355,0.000089,0.000000
6,1.892000,0.972251,0.204018,0.972251,0.945308,0.893746,-83.130091,6911.342346,0.000096,0.000000
7,1.894000,0.972049,0.204508,0.972049,0.944917,0.893008,-83.102309,6906.727459,0.000103,0.000000
8,1.896000,0.971929,0.205452,0.971929,0.944684,0.892568,-83.083493,6903.605380,0.000096,0.000000
9,1.898000,0.971754,0.208631,0.971754,0.944344,0.891930,-83.059935,6899.704322,0.000096,0.000000
10,1.900000,0.971621,0.207732,0.971621,0.944085,0.891439,-83.039039,6896.231910,0.000098,0.000000
11,1.902000,0.971398,0.208503,0.971398,0.943652,0.890622,-83.006447,6890.824467,0.000111,0.000000
12,1.904000,0.971296,0.209266,0.971296,0.943455,0.890252,-82.992676,6888.542986,0.000099,0.000000
13,1.906000,0.971129,0.210758,0.971129,0.943130,0.889640,-82.967944,6884.445325,0.000096,0.000000
14,1.908000,0.970852,0.210924,0.970852,0.942594,0.888630,-82.928689,6877.935400,0.000104,0.000000
15,1.910000,0.970635,0.213349,0.970635,0.942172,0.887839,-82.900533,6873.276739,0.000106,0.000000
16,1.912000,0.970559,0.211917,0.970559,0.942024,0.887558,-82.887967,6871.189851,0.000114,0.000000
17,1.914000,0.970357,0.213738,0.970357,0.941633,0.886823,-82.860150,6866.587408,0.000105,0.000000
18,1.916000,0.970130,0.214920,0.970130,0.941192,0.885996,-82.827004,6861.101573,0.000102,0.000000
19,1.918000,0.970030,0.215719,0.970030,0.940999,0.885632,-82.811884,6858.601699,0.000106,0.000000
20,1.920000,0.969805,0.213928,0.969805,0.940563,0.884811,-82.780085,6853.331164,0.000109,0.000000
21,1.922000,0.969637,0.214838,0.969637,0.940236,0.884198,-82.755508,6849.267743,0.000104,0.000000
22,1.924000,0.969470,0.219602,0.969470,0.939914,0.883596,-82.731331,6845.286120,0.000099,0.000000
23,1.926000,0.969285,0.217179,0.969285,0.939555,0.882921,-82.705103,6840.939701,0.000098,0.000000
24,1.928000,0.969147,0.216806,0.969147,0.939287,0.882416,-82.686445,6837.854014,0.000095,0.000000
25,1.930000,0.968893,0.219769,0.968893,0.938797,0.881499,-82.651077,6832.019169,0.000100,0.000000
26,1.932000,0.968776,0.217425,0.968776,0.938570,0.881071,-82.633767,6829.150937,0.000103,0.000000
27,1.934000,0.968530,0.221705,0.968530,0.938094,0.880184,-82.598698,6823.374191,0.000099,0.000000
28,1.936000,0.968409,0.221920,0.968409,0.937859,0.879742,-82.580680,6820.400429,0.000104,0.000000
29,1.938000,0.968211,0.221400,0.968211,0.937476,0.879025,-82.554487,6816.074859,0.000103,0.000000
30,1.940000,0.967905,0.224621,0.967905,0.936884,0.877918,-82.510581,6808.841322,0.000115,0.000000
