idx,temperture,(staggered)magnetization,specific heat,abs(mm),mm**2,mm**4,HH/L,HH**2/L,cerror,berror
0,1.880000,0.966213,0.251169,0.966213,0.934019,0.874044,-27.344282,748.597474,0.000196,0.000001
1,1.882000,0.965884,0.254665,0.965884,0.933388,0.872876,-27.326215,747.624015,0.000201,0.000001
2,1.884000,0.965654,0.255155,0.965654,0.932950,0.872081,-27.317516,747.152329,0.000190,0.000001
3,1.886000,0.965568,0.253129,0.965568,0.932785,0.871778,-27.314178,746.964677,0.000191,0.000001
4,1.888000,0.965283,0.251322,0.965283,0.932228,0.870718,-27.299776,746.173595,0.000204,0.000001
5,1.890000,0.965251,0.255852,0.965251,0.932179,0.870667,-27.299692,746.187130,0.000188,0.000001
6,1.892000,0.964800,0.251707,0.964800,0.931303,0.869013,-27.275357,744.846133,0.000203,0.000001
7,1.894000,0.964698,0.257541,0.964698,0.931119,0.868710,-27.270644,744.611901,0.000221,0.000001
8,1.896000,0.964560,0.256250,0.964560,0.930849,0.868203,-27.264983,744.300476,0.000197,0.000001
9,1.898000,0.964153,0.260948,0.964153,0.930079,0.866820,-27.248490,743.420225,0.000230,0.000001
10,1.900000,0.963830,0.264350,0.963830,0.929465,0.865707,-27.235140,742.707130,0.000198,0.000001
11,1.902000,0.963845,0.259918,0.963845,0.929482,0.865701,-27.232546,742.551838,0.000221,0.000001
12,1.904000,0.963674,0.262081,0.963674,0.929163,0.865139,-27.226789,742.248152,0.000185,0.000001
13,1.906000,0.963456,0.258971,0.963456,0.928737,0.864325,-27.214009,741.543094,0.000208,0.000001
14,1.908000,0.963225,0.262903,0.963225,0.928307,0.863578,-27.207028,741.179476,0.000236,0.000001
15,1.910000,0.962907,0.263232,0.962907,0.927694,0.862442,-27.193108,740.425410,0.000239,0.000001
16,1.912000,0.962738,0.269044,0.962738,0.927384,0.861919,-27.183439,739.922911,0.000236,0.000001
17,1.914000,0.962160,0.270897,0.962160,0.926283,0.859917,-27.160733,738.697817,0.000195,0.000001
18,1.916000,0.962310,0.266523,0.962310,0.926564,0.860410,-27.166795,739.013166,0.000197,0.000001
19,1.918000,0.961875,0.270730,0.961875,0.925735,0.858903,-27.146456,737.926033,0.000217,0.000001
20,1.920000,0.961819,0.268645,0.961819,0.925620,0.858665,-27.142862,737.725310,0.000223,0.000001
21,1.922000,0.961559,0.272873,0.961559,0.925139,0.857840,-27.131728,737.138661,0.000210,0.000001
22,1.924000,0.961356,0.271230,0.961356,0.924743,0.857089,-27.119519,736.472359,0.000206,0.000001
23,1.926000,0.960770,0.272099,0.960770,0.923617,0.855011,-27.095572,735.179354,0.000225,0.000001
24,1.928000,0.960737,0.275735,0.960737,0.923569,0.854973,-27.096196,735.228802,0.000214,0.000001
25,1.930000,0.960666,0.272988,0.960666,0.923427,0.854690,-27.092889,735.041473,0.000214,0.000001
26,1.932000,0.960380,0.273057,0.960380,0.922886,0.853715,-27.078325,734.254885,0.000211,0.000001
27,1.934000,0.960090,0.277219,0.960090,0.922339,0.852742,-27.067947,733.710678,0.000240,0.000001
28,1.936000,0.960062,0.277495,0.960062,0.922281,0.852620,-27.065031,733.555955,0.000203,0.000001
29,1.938000,0.959690,0.279602,0.959690,0.921575,0.851350,-27.046913,732.585631,0.000214,0.000001
30,1.940000,0.959428,0.281329,0.959428,0.921084,0.850479,-27.039061,732.169651,0.000248,0.000001
