idx,temperture,(staggered)magnetization,specific heat,abs(mm),mm**2,mm**4,HH/L,HH**2/L,cerror,berror
0,1.760000,0.981115,0.147259,0.981115,0.962791,0.927736,-26.906700,724.426669,0.000117,0.000000
1,1.762000,0.980910,0.147204,0.980910,0.962388,0.926967,-26.897112,723.911654,0.000117,0.000000
2,1.764000,0.980734,0.151234,0.980734,0.962053,0.926352,-26.891424,723.619301,0.000114,0.000000
3,1.766000,0.980577,0.148422,0.980577,0.961739,0.925730,-26.882299,723.120873,0.000122,0.000000
4,1.768000,0.980540,0.149071,0.980540,0.961669,0.925605,-26.881634,723.088232,0.000128,0.000000
5,1.770000,0.980402,0.152058,0.980402,0.961403,0.925108,-26.874872,722.735133,0.000128,0.000000
6,1.772000,0.980236,0.152433,0.980236,0.961079,0.924495,-26.866447,722.284594,0.000125,0.000000
7,1.774000,0.979981,0.153675,0.979981,0.960584,0.923552,-26.854327,721.638513,0.000134,0.000000
8,1.776000,0.979960,0.153013,0.979960,0.960541,0.923466,-26.851919,721.508176,0.000125,0.000000
9,1.778000,0.979794,0.156329,0.979794,0.960220,0.922870,-26.843857,721.086863,0.000139,0.000000
10,1.780000,0.979895,0.152914,0.979895,0.960415,0.923232,-26.850150,721.415036,0.000121,0.000000
11,1.782000,0.979600,0.153415,0.979600,0.959838,0.922125,-26.834894,720.598712,0.000097,0.000000
12,1.784000,0.979644,0.154725,0.979644,0.959927,0.922311,-26.838681,720.807208,0.000109,0.000000
13,1.786000,0.979335,0.157242,0.979335,0.959328,0.921180,-26.823929,720.024739,0.000127,0.000000
14,1.788000,0.979045,0.157910,0.979045,0.958759,0.920091,-26.809844,719.272570,0.000132,0.000000
15,1.790000,0.979017,0.157832,0.979017,0.958706,0.919992,-26.808625,719.208077,0.000145,0.000000
16,1.792000,0.979055,0.158011,0.979055,0.958781,0.920133,-26.809547,719.259213,0.000145,0.000001
17,1.794000,0.978774,0.160323,0.978774,0.958237,0.919113,-26.798072,718.652631,0.000127,0.000000
18,1.796000,0.978572,0.160153,0.978572,0.957840,0.918355,-26.787388,718.080756,0.000136,0.000000
19,1.798000,0.978610,0.161100,0.978610,0.957917,0.918508,-26.789125,718.178025,0.000129,0.000000
20,1.800000,0.978345,0.159374,0.978345,0.957398,0.917513,-26.776034,717.472351,0.000122,0.000000
21,1.802000,0.978282,0.160912,0.978282,0.957277,0.917289,-26.772871,717.309151,0.000128,0.000000
22,1.804000,0.978164,0.163063,0.978164,0.957048,0.916861,-26.768333,717.074328,0.000149,0.000001
23,1.806000,0.977750,0.162379,0.977750,0.956241,0.915323,-26.748058,715.988243,0.000112,0.000000
24,1.808000,0.977723,0.163751,0.977723,0.956190,0.915230,-26.746639,715.917961,0.000128,0.000000
25,1.810000,0.977711,0.163066,0.977711,0.956167,0.915190,-26.747775,715.977693,0.000133,0.000001
26,1.812000,0.977448,0.165148,0.977448,0.955656,0.914225,-26.734045,715.251384,0.000145,0.000001
27,1.814000,0.977323,0.166270,0.977323,0.955419,0.913794,-26.731091,715.098329,0.000149,0.000001
28,1.816000,0.977334,0.165969,0.977334,0.955436,0.913816,-26.728457,714.957739,0.000123,0.000000
29,1.818000,0.977027,0.168663,0.977027,0.954841,0.912696,-26.712457,714.112807,0.000128,0.000001
30,1.820000,0.977095,0.164434,0.977095,0.954968,0.912918,-26.715732,714.274984,0.000129,0.000000
