idx,temperture,(staggered)magnetization,specific heat,abs(mm),mm**2,mm**4,HH/L,HH**2/L,cerror,berror
0,2.060000,0.919693,0.539463,0.919693,0.845959,0.716063,-106.992723,11449.731950,0.000228,0.000000
1,2.062000,0.919113,0.545946,0.919113,0.844895,0.714272,-106.910838,11432.248568,0.000267,0.000000
2,2.064000,0.918449,0.548198,0.918449,0.843677,0.712222,-106.821727,11413.216656,0.000229,0.000000
3,2.066000,0.918089,0.553205,0.918089,0.843018,0.711116,-106.763554,11400.817807,0.000271,0.000000
4,2.068000,0.917622,0.544805,0.917622,0.842160,0.709667,-106.687431,11384.537883,0.000248,0.000000
5,2.070000,0.916907,0.546788,0.916907,0.840849,0.707467,-106.592470,11364.297486,0.000282,0.000000
6,2.072000,0.916492,0.558426,0.916492,0.840091,0.706201,-106.526179,11350.224173,0.000290,0.000000
7,2.074000,0.916059,0.553857,0.916059,0.839298,0.704869,-106.459808,11336.073218,0.000296,0.000000
8,2.076000,0.915423,0.557683,0.915423,0.838136,0.702928,-106.373685,11317.764395,0.000268,0.000000
9,2.078000,0.914860,0.559064,0.914860,0.837107,0.701207,-106.285293,11298.977601,0.000264,0.000000
10,2.080000,0.914351,0.567606,0.914351,0.836179,0.699667,-106.217598,11284.633770,0.000284,0.000000
11,2.082000,0.913777,0.573522,0.913777,0.835132,0.697923,-106.134314,11266.978602,0.000269,0.000000
12,2.084000,0.913315,0.564436,0.913315,0.834287,0.696509,-106.068372,11252.950928,0.000279,0.000000
13,2.086000,0.912664,0.568426,0.912664,0.833099,0.694534,-105.976401,11233.470980,0.000292,0.000000
14,2.088000,0.912007,0.575239,0.912007,0.831904,0.692554,-105.883999,11213.929039,0.000255,0.000000
15,2.090000,0.911508,0.574571,0.911508,0.830996,0.691047,-105.804643,11197.132311,0.000274,0.000000
16,2.092000,0.910878,0.575004,0.910878,0.829849,0.689146,-105.722407,11179.743867,0.000292,0.000000
17,2.094000,0.910376,0.580960,0.910376,0.828938,0.687641,-105.647120,11163.861344,0.000269,0.000000
18,2.096000,0.909762,0.573257,0.909762,0.827819,0.685785,-105.563533,11146.177944,0.000269,0.000000
19,2.098000,0.909295,0.584492,0.909295,0.826975,0.684402,-105.493020,11131.350059,0.000285,0.000000
20,2.100000,0.908556,0.588107,0.908556,0.825632,0.682188,-105.386811,11108.973429,0.000278,0.000000
21,2.102000,0.907977,0.588846,0.907977,0.824584,0.680464,-105.305870,11091.927915,0.000290,0.000000
22,2.104000,0.907218,0.593953,0.907218,0.823208,0.678205,-105.206507,11071.038535,0.000274,0.000000
23,2.106000,0.906833,0.598620,0.906833,0.822512,0.677070,-105.150863,11059.358992,0.000277,0.000000
24,2.108000,0.906255,0.595948,0.906255,0.821464,0.675342,-105.067344,11041.795004,0.000301,0.000000
25,2.110000,0.905651,0.597408,0.905651,0.820371,0.673555,-104.987867,11025.111885,0.000266,0.000000
26,2.112000,0.904944,0.604373,0.904944,0.819095,0.671478,-104.885798,11003.726545,0.000305,0.000000
27,2.114000,0.904334,0.604244,0.904334,0.817992,0.669672,-104.797442,10985.204177,0.000306,0.000000
28,2.116000,0.903699,0.604783,0.903699,0.816848,0.667811,-104.714252,10967.782369,0.000274,0.000000
29,2.118000,0.903057,0.611756,0.903057,0.815690,0.665929,-104.627019,10949.557386,0.000293,0.000000
30,2.120000,0.902605,0.609805,0.902605,0.814876,0.664602,-104.563797,10936.328419,0.000285,0.000000
