idx,temperture,(staggered)magnetization,specific heat,abs(mm),mm**2,mm**4,HH/L,HH**2/L,cerror,berror
0,2.060000,0.919766,0.540478,0.919766,0.846024,0.715942,-160.508152,25765.160589,0.000179,0.000000
1,2.062000,0.919221,0.544681,0.919221,0.845024,0.714254,-160.389207,25727.013731,0.000206,0.000000
2,2.064000,0.918763,0.545083,0.918763,0.844181,0.712832,-160.289711,25695.113530,0.000192,0.000000
3,2.066000,0.918224,0.543020,0.918224,0.843193,0.711164,-160.166133,25655.508109,0.000177,0.000000
4,2.068000,0.917632,0.552404,0.917632,0.842106,0.709338,-160.035143,25613.609355,0.000222,0.000000
5,2.070000,0.917118,0.553954,0.917118,0.841165,0.707755,-159.928995,25579.657076,0.000192,0.000000
6,2.072000,0.916598,0.547261,0.916598,0.840211,0.706151,-159.807641,25540.831539,0.000210,0.000000
7,2.074000,0.916082,0.555382,0.916082,0.839266,0.704568,-159.696738,25505.437163,0.000192,0.000000
8,2.076000,0.915633,0.557393,0.915633,0.838445,0.703192,-159.592250,25472.088660,0.000193,0.000000
9,2.078000,0.915027,0.559744,0.915027,0.837335,0.701334,-159.467039,25432.153397,0.000201,0.000000
10,2.080000,0.914400,0.569137,0.914400,0.836191,0.699424,-159.335589,25390.292117,0.000191,0.000000
11,2.082000,0.913910,0.561758,0.913910,0.835293,0.697922,-159.228767,25356.235330,0.000198,0.000000
12,2.084000,0.913313,0.566739,0.913313,0.834204,0.696107,-159.093667,25313.256292,0.000187,0.000000
13,2.086000,0.912825,0.572240,0.912825,0.833313,0.694625,-158.994546,25281.755692,0.000182,0.000000
14,2.088000,0.912250,0.571351,0.912250,0.832264,0.692879,-158.862354,25239.738348,0.000203,0.000000
15,2.090000,0.911619,0.572944,0.911619,0.831116,0.690974,-158.733917,25198.959094,0.000203,0.000000
16,2.092000,0.911152,0.574335,0.911152,0.830264,0.689557,-158.630087,25166.017910,0.000205,0.000000
17,2.094000,0.910462,0.582472,0.910462,0.829009,0.687480,-158.488997,25121.316223,0.000206,0.000000
18,2.096000,0.909930,0.583350,0.909930,0.828042,0.685880,-158.370414,25083.750779,0.000198,0.000000
19,2.098000,0.909316,0.579896,0.909316,0.826924,0.684031,-158.237614,25041.694936,0.000213,0.000000
20,2.100000,0.908737,0.590383,0.908737,0.825874,0.682302,-158.118523,25004.070761,0.000202,0.000000
21,2.102000,0.908186,0.594047,0.908186,0.824873,0.680649,-158.001988,24967.252979,0.000207,0.000000
22,2.104000,0.907532,0.593785,0.907532,0.823687,0.678698,-157.864327,24923.774166,0.000217,0.000000
23,2.106000,0.906968,0.588256,0.906968,0.822664,0.677014,-157.748163,24887.092017,0.000199,0.000000
24,2.108000,0.906288,0.595486,0.906288,0.821432,0.674994,-157.607219,24842.681537,0.000207,0.000000
25,2.110000,0.905791,0.596010,0.905791,0.820532,0.673517,-157.502466,24809.680263,0.000213,0.000000
26,2.112000,0.905101,0.600253,0.905101,0.819283,0.671471,-157.358090,24764.245791,0.000225,0.000000
27,2.114000,0.904450,0.603439,0.904450,0.818107,0.669550,-157.221437,24721.276888,0.000201,0.000000
28,2.116000,0.903902,0.607100,0.903902,0.817117,0.667933,-157.106848,24685.279973,0.000204,0.000000
29,2.118000,0.903264,0.609040,0.903264,0.815965,0.666056,-156.973387,24643.376392,0.000221,0.000000
30,2.120000,0.902616,0.611701,0.902616,0.814796,0.664152,-156.845195,24603.164380,0.000207,0.000000
