idx,temperture,(staggered)magnetization,specific heat,abs(mm),mm**2,mm**4,HH/L,HH**2/L,cerror,berror
0,1.760000,0.990708,0.074094,0.990708,0.981507,0.963378,-110.785485,12273.653225,0.000035,0.000000
1,1.762000,0.990616,0.074847,0.990616,0.981326,0.963022,-110.765981,12269.335017,0.000036,0.000000
2,1.764000,0.990557,0.075440,0.990557,0.981208,0.962791,-110.753176,12266.500840,0.000033,0.000000
3,1.766000,0.990501,0.075253,0.990501,0.981099,0.962576,-110.742035,12264.032902,0.000039,0.000000
4,1.768000,0.990420,0.076076,0.990420,0.980938,0.962261,-110.725704,12260.419307,0.000039,0.000000
5,1.770000,0.990392,0.076098,0.990392,0.980881,0.962149,-110.719054,12258.947312,0.000037,0.000000
6,1.772000,0.990298,0.077163,0.990298,0.980697,0.961788,-110.699973,12254.726356,0.000040,0.000000
7,1.774000,0.990225,0.077434,0.990225,0.980552,0.961504,-110.684875,12251.385165,0.000042,0.000000
8,1.776000,0.990169,0.078448,0.990169,0.980441,0.961288,-110.672864,12248.730282,0.000042,0.000000
9,1.778000,0.990105,0.077211,0.990105,0.980313,0.961037,-110.659601,12245.791372,0.000040,0.000000
10,1.780000,0.990048,0.077659,0.990048,0.980201,0.960816,-110.648094,12243.246856,0.000037,0.000000
11,1.782000,0.989955,0.079552,0.989955,0.980018,0.960458,-110.629334,12239.102217,0.000043,0.000000
12,1.784000,0.989913,0.078020,0.989913,0.979934,0.960294,-110.620144,12237.064642,0.000039,0.000000
13,1.786000,0.989846,0.078665,0.989846,0.979801,0.960033,-110.605994,12233.936937,0.000039,0.000000
14,1.788000,0.989751,0.079872,0.989751,0.979614,0.959667,-110.586416,12229.610709,0.000041,0.000000
15,1.790000,0.989697,0.079118,0.989697,0.979507,0.959458,-110.575188,12227.125766,0.000041,0.000000
16,1.792000,0.989599,0.080455,0.989599,0.979312,0.959076,-110.554890,12222.642102,0.000036,0.000000
17,1.794000,0.989557,0.081293,0.989557,0.979230,0.958915,-110.545693,12220.611953,0.000043,0.000000
18,1.796000,0.989489,0.080653,0.989489,0.979095,0.958650,-110.531303,12217.429111,0.000041,0.000000
19,1.798000,0.989424,0.080929,0.989424,0.978966,0.958399,-110.517932,12214.474912,0.000042,0.000000
20,1.800000,0.989321,0.081442,0.989321,0.978762,0.958000,-110.497762,12210.019281,0.000044,0.000000
21,1.802000,0.989277,0.081336,0.989277,0.978675,0.957829,-110.487597,12207.773300,0.000041,0.000000
22,1.804000,0.989197,0.082386,0.989197,0.978518,0.957522,-110.471329,12204.182756,0.000042,0.000000
23,1.806000,0.989118,0.082719,0.989118,0.978361,0.957215,-110.454917,12200.558470,0.000042,0.000000
24,1.808000,0.989067,0.082289,0.989067,0.978260,0.957017,-110.444754,12198.312668,0.000037,0.000000
25,1.810000,0.988993,0.083398,0.988993,0.978113,0.956731,-110.428855,12194.805214,0.000043,0.000000
26,1.812000,0.988906,0.083902,0.988906,0.977943,0.956397,-110.411618,12191.000794,0.000039,0.000000
27,1.814000,0.988845,0.083729,0.988845,0.977820,0.956158,-110.399087,12188.233819,0.000044,0.000000
28,1.816000,0.988770,0.084503,0.988770,0.977672,0.955868,-110.383235,12184.737293,0.000042,0.000000
29,1.818000,0.988701,0.085977,0.988701,0.977536,0.955602,-110.368098,12181.401185,0.000044,0.000000
30,1.820000,0.988627,0.084551,0.988627,0.977390,0.955317,-110.352942,12178.051783,0.000041,0.000000
