idx,temperture,(staggered)magnetization,specific heat,abs(mm),mm**2,mm**4,HH/L,HH**2/L,cerror,berror
0,1.880000,0.974708,0.189252,0.974708,0.950064,0.902653,-167.010930,27893.319756,0.000072,0.000000
1,1.882000,0.974569,0.189213,0.974569,0.949794,0.902139,-166.971569,27880.175142,0.000072,0.000000
2,1.884000,0.974397,0.189766,0.974397,0.949458,0.901501,-166.920681,27863.187471,0.000067,0.000000
3,1.886000,0.974261,0.192387,0.974261,0.949193,0.901000,-166.879962,27849.606105,0.000071,0.000000
4,1.888000,0.974087,0.192365,0.974087,0.948854,0.900356,-166.830911,27833.238548,0.000061,0.000000
5,1.890000,0.973966,0.193734,0.973966,0.948619,0.899910,-166.793869,27820.886921,0.000074,0.000000
6,1.892000,0.973794,0.192720,0.973794,0.948284,0.899275,-166.744143,27804.299130,0.000059,0.000000
7,1.894000,0.973610,0.195351,0.973610,0.947925,0.898594,-166.691272,27786.680990,0.000064,0.000000
8,1.896000,0.973479,0.194476,0.973479,0.947669,0.898110,-166.653346,27774.036765,0.000069,0.000000
9,1.898000,0.973309,0.194457,0.973309,0.947340,0.897486,-166.603794,27757.524565,0.000065,0.000000
10,1.900000,0.973119,0.197082,0.973119,0.946969,0.896783,-166.548590,27739.144141,0.000072,0.000000
11,1.902000,0.972988,0.197470,0.972988,0.946714,0.896300,-166.509433,27726.105666,0.000070,0.000000
12,1.904000,0.972817,0.197796,0.972817,0.946382,0.895673,-166.460003,27709.649768,0.000069,0.000000
13,1.906000,0.972647,0.198232,0.972647,0.946052,0.895047,-166.412874,27693.964730,0.000071,0.000000
14,1.908000,0.972486,0.200601,0.972486,0.945737,0.894453,-166.364952,27678.027408,0.000080,0.000000
15,1.910000,0.972319,0.201267,0.972319,0.945414,0.893842,-166.316920,27662.052041,0.000071,0.000000
16,1.912000,0.972179,0.202028,0.972179,0.945141,0.893327,-166.276124,27648.487939,0.000074,0.000000
17,1.914000,0.972003,0.201701,0.972003,0.944799,0.892680,-166.225876,27631.780742,0.000072,0.000000
18,1.916000,0.971831,0.203955,0.971831,0.944466,0.892051,-166.175912,27615.182392,0.000075,0.000000
19,1.918000,0.971630,0.202770,0.971630,0.944074,0.891312,-166.119225,27596.342905,0.000069,0.000000
20,1.920000,0.971485,0.204947,0.971485,0.943793,0.890782,-166.076018,27581.999350,0.000072,0.000000
21,1.922000,0.971308,0.204212,0.971308,0.943450,0.890133,-166.023107,27564.426398,0.000075,0.000000
22,1.924000,0.971192,0.205066,0.971192,0.943223,0.889706,-165.990338,27553.551399,0.000072,0.000000
23,1.926000,0.970960,0.206794,0.970960,0.942772,0.888856,-165.923567,27531.397169,0.000076,0.000000
24,1.928000,0.970799,0.206219,0.970799,0.942461,0.888269,-165.878066,27516.299264,0.000070,0.000000
25,1.930000,0.970640,0.207233,0.970640,0.942153,0.887688,-165.831151,27500.742725,0.000071,0.000000
26,1.932000,0.970483,0.208165,0.970483,0.941847,0.887112,-165.787006,27486.108489,0.000074,0.000000
27,1.934000,0.970295,0.209620,0.970295,0.941481,0.886425,-165.731934,27467.857932,0.000072,0.000000
28,1.936000,0.970073,0.210534,0.970073,0.941052,0.885617,-165.667245,27446.425165,0.000076,0.000000
29,1.938000,0.969940,0.212775,0.969940,0.940793,0.885129,-165.629515,27433.935416,0.000074,0.000000
30,1.940000,0.969749,0.213194,0.969749,0.940423,0.884434,-165.575942,27416.195067,0.000077,0.000000
