idx,temperture,(staggered)magnetization,specific heat,abs(mm),mm**2,mm**4,HH/L,HH**2/L,cerror,berror
0,1.580000,0.999162,0.007628,0.999162,0.998324,0.996652,-161.164034,25973.864887,0.000003,0.000000
1,1.582000,0.999152,0.007687,0.999152,0.998304,0.996612,-161.160897,25972.853873,0.000003,0.000000
2,1.584000,0.999144,0.007744,0.999144,0.998289,0.996582,-161.158481,25972.075525,0.000003,0.000000
3,1.586000,0.999133,0.007808,0.999133,0.998267,0.996537,-161.154874,25970.912953,0.000003,0.000000
4,1.588000,0.999123,0.007810,0.999123,0.998247,0.996499,-161.151770,25969.912715,0.000003,0.000000
5,1.590000,0.999121,0.007966,0.999121,0.998242,0.996489,-161.150987,25969.660892,0.000003,0.000000
6,1.592000,0.999109,0.008052,0.999109,0.998219,0.996443,-161.147301,25968.473001,0.000003,0.000000
7,1.594000,0.999101,0.008047,0.999101,0.998203,0.996411,-161.144754,25967.652214,0.000003,0.000000
8,1.596000,0.999091,0.008059,0.999091,0.998184,0.996371,-161.141625,25966.643882,0.000003,0.000000
9,1.598000,0.999084,0.008116,0.999084,0.998169,0.996343,-161.139292,25965.892242,0.000003,0.000000
10,1.600000,0.999073,0.008206,0.999073,0.998148,0.996299,-161.135826,25964.775462,0.000003,0.000000
11,1.602000,0.999065,0.008351,0.999065,0.998130,0.996265,-161.133081,25963.891160,0.000004,0.000000
12,1.604000,0.999052,0.008399,0.999052,0.998106,0.996215,-161.129083,25962.603058,0.000003,0.000000
13,1.606000,0.999046,0.008411,0.999046,0.998093,0.996190,-161.126974,25961.923493,0.000003,0.000000
14,1.608000,0.999037,0.008483,0.999037,0.998075,0.996154,-161.124156,25961.015640,0.000003,0.000000
15,1.610000,0.999027,0.008521,0.999027,0.998055,0.996115,-161.121085,25960.026034,0.000003,0.000000
16,1.612000,0.999016,0.008555,0.999016,0.998034,0.996073,-161.117740,25958.948346,0.000003,0.000000
17,1.614000,0.999008,0.008649,0.999008,0.998017,0.996039,-161.114891,25958.030534,0.000003,0.000000
18,1.616000,0.998996,0.008652,0.998996,0.997994,0.995992,-161.111211,25956.844892,0.000004,0.000000
19,1.618000,0.998989,0.008747,0.998989,0.997979,0.995962,-161.108836,25956.080043,0.000003,0.000000
20,1.620000,0.998978,0.008871,0.998978,0.997958,0.995921,-161.105539,25955.018089,0.000004,0.000000
21,1.622000,0.998968,0.008909,0.998968,0.997938,0.995881,-161.102291,25953.971714,0.000004,0.000000
22,1.624000,0.998957,0.008864,0.998957,0.997916,0.995838,-161.098850,25952.862995,0.000004,0.000000
23,1.626000,0.998949,0.008970,0.998949,0.997900,0.995804,-161.096196,25952.007944,0.000004,0.000000
24,1.628000,0.998939,0.009167,0.998939,0.997880,0.995765,-161.093011,25950.982379,0.000004,0.000000
25,1.630000,0.998932,0.009072,0.998932,0.997865,0.995736,-161.090756,25950.255692,0.000004,0.000000
26,1.632000,0.998919,0.009106,0.998919,0.997839,0.995684,-161.086504,25948.885864,0.000004,0.000000
27,1.634000,0.998908,0.009387,0.998908,0.997818,0.995641,-161.083056,25947.776055,0.000004,0.000000
28,1.636000,0.998897,0.009281,0.998897,0.997796,0.995598,-161.079696,25946.693396,0.000004,0.000000
29,1.638000,0.998889,0.009341,0.998889,0.997779,0.995563,-161.076891,25945.789811,0.000004,0.000000
30,1.640000,0.998881,0.009422,0.998881,0.997763,0.995532,-161.074433,25944.998347,0.000004,0.000000
