idx,temperture,(staggered)magnetization,specific heat,abs(mm),mm**2,mm**4,HH/L,HH**2/L,cerror,berror
0,2.060000,0.919433,0.535996,0.919433,0.845579,0.715747,-80.225043,6438.332015,0.000280,0.000000
1,2.062000,0.918938,0.548178,0.918938,0.844673,0.714229,-80.166155,6428.943249,0.000238,0.000000
2,2.064000,0.918566,0.541149,0.918566,0.843988,0.713068,-80.123209,6422.034027,0.000243,0.000000
3,2.066000,0.917809,0.548205,0.917809,0.842604,0.710755,-80.043117,6409.240545,0.000295,0.000000
4,2.068000,0.917312,0.547674,0.917312,0.841696,0.709232,-79.990909,6400.887797,0.000254,0.000000
5,2.070000,0.916952,0.552951,0.916952,0.841035,0.708121,-79.940012,6392.774780,0.000260,0.000000
6,2.072000,0.916317,0.559154,0.916317,0.839877,0.706191,-79.873002,6382.096998,0.000259,0.000000
7,2.074000,0.915777,0.556924,0.915777,0.838888,0.704532,-79.813202,6372.542825,0.000261,0.000000
8,2.076000,0.915267,0.559990,0.915267,0.837957,0.702981,-79.764864,6364.846924,0.000282,0.000000
9,2.078000,0.914675,0.557763,0.914675,0.836877,0.701179,-79.696236,6353.898473,0.000268,0.000000
10,2.080000,0.914078,0.565387,0.914078,0.835790,0.699376,-79.635969,6344.333729,0.000276,0.000000
11,2.082000,0.913573,0.563122,0.913573,0.834868,0.697841,-79.582766,6335.857684,0.000245,0.000000
12,2.084000,0.912965,0.567313,0.912965,0.833762,0.696009,-79.521464,6326.127057,0.000261,0.000000
13,2.086000,0.912351,0.570964,0.912351,0.832646,0.694158,-79.451923,6315.092593,0.000281,0.000000
14,2.088000,0.911958,0.573368,0.911958,0.831927,0.692963,-79.403837,6307.469002,0.000289,0.000000
15,2.090000,0.911279,0.574989,0.911279,0.830696,0.690934,-79.335654,6296.657613,0.000287,0.000000
16,2.092000,0.910818,0.573053,0.910818,0.829858,0.689544,-79.281336,6288.038228,0.000292,0.000000
17,2.094000,0.910043,0.578279,0.910043,0.828451,0.687226,-79.204673,6275.915958,0.000293,0.000000
18,2.096000,0.909603,0.582254,0.909603,0.827655,0.685918,-79.151727,6267.553897,0.000294,0.000000
19,2.098000,0.909016,0.584701,0.909016,0.826590,0.684165,-79.090712,6257.914374,0.000275,0.000000
20,2.100000,0.908272,0.593703,0.908272,0.825243,0.681959,-79.018852,6246.597126,0.000298,0.000000
21,2.102000,0.907863,0.592363,0.907863,0.824503,0.680744,-78.969616,6238.817499,0.000269,0.000000
22,2.104000,0.907041,0.591785,0.907041,0.823015,0.678304,-78.883046,6225.154613,0.000296,0.000000
23,2.106000,0.906840,0.597646,0.906840,0.822652,0.677708,-78.853051,6220.454375,0.000264,0.000000
24,2.108000,0.905821,0.599727,0.905821,0.820812,0.674706,-78.763733,6206.390594,0.000274,0.000000
25,2.110000,0.905250,0.600653,0.905250,0.819781,0.673024,-78.702495,6196.756888,0.000266,0.000000
26,2.112000,0.904576,0.609285,0.904576,0.818567,0.671051,-78.628630,6185.179244,0.000292,0.000000
27,2.114000,0.904152,0.603204,0.904152,0.817801,0.669798,-78.592826,6179.527941,0.000295,0.000000
28,2.116000,0.903515,0.613182,0.903515,0.816658,0.667957,-78.524123,6168.783365,0.000314,0.000000
29,2.118000,0.902937,0.611279,0.902937,0.815614,0.666256,-78.459173,6158.583982,0.000283,0.000000
30,2.120000,0.902289,0.615344,0.902289,0.814446,0.664354,-78.387481,6147.362709,0.000294,0.000000
